frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
255,19.4012,0.0187,1.1107,0.0093,11.2720,0.7205,4.2479,5.7834,0.3798,299928,99976,1,4883,24
256,19.4130,0.0235,0.9761,0.0093,11.2585,0.6017,4.2583,5.8503,0.3913,299928,99976,1,4883,24
257,19.1638,0.0471,0.6675,0.0091,11.2939,0.7876,4.2525,5.7179,0.3805,299928,99976,1,4883,24
258,18.8976,0.0223,0.6000,0.0081,11.3063,0.7356,4.3003,5.7450,0.3675,299928,99976,1,4883,24
259,19.3934,0.0214,1.0817,0.0104,11.6120,0.6925,4.4615,5.7720,0.4505,299928,99976,1,4883,24
260,19.6281,0.0328,1.0603,0.0094,11.1837,0.6166,4.2783,5.7528,0.3882,299928,99976,1,4883,24
261,19.1729,0.0222,0.8650,0.0093,11.3841,0.6689,4.2623,5.8949,0.4020,299928,99976,1,4883,24
262,18.8262,0.0224,0.6768,0.0087,11.3871,0.6520,4.3885,5.7619,0.4240,299928,99976,1,4883,24
263,19.2918,0.0228,0.6223,0.0086,11.1912,0.6403,4.1846,5.8053,0.4048,299928,99976,1,4883,24
264,14.4402,0.0223,0.6054,0.0084,11.4772,0.5859,4.4946,5.8675,0.4132,299928,99976,1,4883,24
265,12.2004,0.0281,0.7086,0.0099,11.6531,0.7258,4.5261,5.8126,0.4332,299928,99976,1,4883,24
266,12.5421,0.0244,0.9595,0.0107,11.4688,0.7698,4.2734,5.8639,0.4153,299928,99976,1,4883,24
267,12.1596,0.0323,0.6643,0.0088,11.1612,0.6598,4.1632,5.7200,0.4529,299928,99976,1,4883,24
268,12.3682,0.0255,0.6416,0.0083,11.1058,0.7071,4.1167,5.6472,0.4856,299928,99976,1,4883,24
269,12.3237,0.0293,0.6552,0.0084,11.1292,0.6037,4.1965,5.7609,0.4393,299928,99976,1,4883,24
270,12.2976,0.0291,0.7005,0.0091,11.3262,0.5812,4.3361,5.8760,0.4155,299928,99976,1,4883,24
271,12.4634,0.0387,0.6732,0.0083,12.0140,0.6234,4.4255,6.2661,0.5275,299928,99976,1,4883,24
272,12.6999,0.0332,1.0053,0.0099,11.4390,0.6076,4.4244,5.8182,0.4584,299928,99976,1,4883,24
273,12.4241,0.0338,0.6744,0.0078,11.5526,0.5787,4.4729,5.8814,0.4866,299928,99976,1,4883,24
274,13.0170,0.0320,0.6359,0.0083,11.4396,0.7242,4.3099,5.8081,0.4340,299928,99976,1,4883,24
275,12.1196,0.0244,0.6518,0.0080,11.3885,0.5533,4.5170,5.7803,0.4075,299928,99976,1,4883,24
276,12.3384,0.0335,0.6463,0.0097,11.5578,0.6487,4.6127,5.7616,0.4090,299928,99976,1,4883,24
277,12.4189,0.0280,0.6795,0.0093,11.4464,0.6297,4.4007,5.8529,0.3983,299928,99976,1,4883,24
278,12.5364,0.0318,0.6615,0.0095,11.5635,0.7073,4.3736,5.9486,0.4092,299928,99976,1,4883,24
279,15.9530,0.0305,0.7459,0.0092,11.2790,0.6793,4.2270,5.8006,0.4085,299928,99976,1,4883,24
280,17.6591,0.0204,0.6561,0.0085,11.1380,0.6698,4.1869,5.7273,0.3789,299928,99976,1,4883,24
