frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
23,15.4664,0.1594,0.7353,0.0079,12.4270,0.6800,5.6906,5.3107,0.6193,18960,6320,1,7508,0
24,15.3713,0.0400,0.7343,0.0075,12.2002,0.7349,5.6452,5.1897,0.5162,18960,6320,1,7508,0
25,15.3547,0.3557,0.7372,0.0079,12.5301,0.6721,5.8455,5.2395,0.6155,18960,6320,1,7508,0
26,15.7410,0.1864,1.0376,0.0097,17.0106,0.6935,5.7902,5.2514,2.4294,18960,6320,1,7506,2
27,15.5626,0.0317,0.8485,0.0085,16.1336,0.7025,6.0819,5.5750,2.2479,18960,6320,1,7504,4
28,15.8410,0.0379,0.7184,0.0074,16.6436,0.7988,6.3317,5.5681,2.4056,18960,6320,1,7502,6
29,15.1227,0.0236,0.6948,0.0076,16.4244,0.9966,5.9454,5.6350,2.2677,18960,6320,1,7500,8
30,15.5082,0.0370,0.6928,0.0085,16.4617,1.2160,5.9614,5.6034,2.1555,18960,6320,1,7498,10
31,15.7572,0.0239,0.7658,0.0086,15.8097,0.7356,5.9747,5.4693,2.1348,18960,6320,1,7496,12
32,16.1001,0.0233,1.5013,0.0092,15.8255,0.8759,5.9496,5.4286,2.1583,18960,6320,1,7494,14
33,15.4323,0.0227,0.7795,0.0090,15.8428,0.7809,5.9297,5.3534,2.4239,18960,6320,1,7492,16
34,15.6837,0.0363,0.7188,0.0080,16.6353,1.3268,6.0763,5.3344,2.1037,18960,6320,1,7490,18
35,16.2644,0.0536,1.1745,0.0092,17.4889,0.8041,5.4960,5.4947,2.0127,18960,6320,1,7488,20
36,15.4559,0.0266,0.8587,0.0117,12.8011,0.9734,5.6615,5.4842,0.5279,18960,6320,1,7488,20
37,15.4302,0.0220,0.7508,0.0083,12.5524,0.8572,5.5938,5.4802,0.4663,18960,6320,1,7488,20
38,14.3697,0.0292,1.0109,0.0096,12.2436,0.7407,5.4227,5.4129,0.4977,18960,6320,1,7488,20
39,13.6942,0.0329,1.1636,0.0077,12.6293,0.7699,5.6400,5.5545,0.4914,18960,6320,1,7488,20
40,13.5628,0.0336,0.8722,0.0092,12.7070,0.6989,5.7502,5.5857,0.5428,18960,6320,1,7488,20
41,13.0205,0.0328,0.7211,0.0080,12.9203,0.7025,5.7427,5.7676,0.5543,18960,6320,1,7488,20
42,13.4695,0.0277,0.7699,0.0091,13.1102,0.6593,6.0612,5.7356,0.5012,18960,6320,1,7488,20
