frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,2.8971,1.0651,1.5974,0.0040,259.4174,0.7031,233.8058,24.2948,0.4771,299928,99976,1,4907,0
1,1.3171,0.2388,0.8355,0.0148,44.1271,0.6007,16.9322,25.9777,0.4842,299928,99976,1,4907,0
2,1.1406,0.0350,0.8608,0.0144,19.4113,1.2648,9.8353,7.8753,0.3528,299928,99976,1,4907,0
3,0.9745,0.0300,0.7325,0.0113,18.0927,0.7016,8.9914,7.8537,0.4663,299928,99976,1,4907,0
4,1.9165,0.0372,1.6480,0.0116,18.2390,0.7835,8.8515,8.0604,0.4485,299928,99976,1,4907,0
5,2.0005,0.0325,1.7470,0.0118,18.2629,0.9135,8.6670,8.0878,0.4588,299928,99976,1,4907,0
6,1.0389,0.0309,0.7853,0.0131,18.1061,0.7120,8.9507,7.9605,0.3926,299928,99976,1,4907,0
7,0.9840,0.0366,0.7273,0.0111,18.1033,0.6658,8.8208,8.0948,0.4417,299928,99976,1,4907,0
8,1.0835,0.0312,0.8365,0.0125,18.3050,0.9191,8.6567,8.1575,0.4600,299928,99976,1,4907,0
9,1.5585,0.0560,1.2826,0.0127,18.1005,0.9545,8.4373,8.1074,0.4859,299928,99976,1,4907,0
10,0.9738,0.0276,0.7418,0.0121,17.9508,0.9589,8.4171,8.0474,0.4196,299928,99976,1,4907,0
11,3.1895,0.0445,2.7212,0.0231,18.4637,0.6542,8.9665,8.2985,0.4484,299928,99976,1,4907,0
12,1.5599,0.0274,1.3171,0.0121,13.6331,0.6999,6.5246,5.8820,0.4302,299928,99976,1,4907,0
13,1.0862,0.0280,0.8511,0.0111,11.2623,0.6853,4.2941,5.7314,0.4198,299928,99976,1,4907,0
14,0.9870,0.0298,0.7443,0.0123,11.3776,0.6126,4.4396,5.8001,0.4095,299928,99976,1,4907,0
15,0.9723,0.0298,0.7252,0.0112,11.2763,0.6306,4.3659,5.7454,0.4089,299928,99976,1,4907,0
16,1.1303,0.0284,0.8920,0.0113,11.5195,0.6460,4.5804,5.7769,0.3890,299928,99976,1,4907,0
17,1.4257,0.0295,1.1840,0.0115,11.4550,0.6675,4.4105,5.8226,0.3887,299928,99976,1,4907,0
18,1.3551,0.0282,1.1185,0.0119,11.3838,0.6486,4.3717,5.8264,0.3994,299928,99976,1,4907,0
19,1.4172,0.0292,0.9730,0.0117,11.5594,0.6190,4.5731,5.7940,0.3956,299928,99976,1,4907,0
20,1.0814,0.0546,0.7786,0.0129,11.4636,0.7078,4.3486,5.8083,0.4485,299928,99976,1,4907,0
21,1.3394,0.0397,0.9905,0.0116,11.5250,0.5909,4.4377,5.7975,0.5397,299928,99976,1,4907,0
22,1.1239,0.0333,0.8238,0.0123,12.1639,0.6239,4.5538,6.4139,0.4113,299928,99976,1,4907,0
23,1.3887,0.0312,1.1317,0.0125,11.2737,0.5588,4.4954,5.7436,0.3706,299928,99976,1,4907,0
24,1.0884,0.0318,0.8215,0.0136,11.4576,0.6481,4.4597,5.7430,0.4613,299928,99976,1,4907,0
25,1.3833,0.1769,0.9414,0.0123,11.5239,0.5778,4.5760,5.7583,0.4796,299928,99976,1,4907,0
26,0.9499,0.0305,0.7087,0.0120,11.6559,0.5741,4.6441,5.7712,0.5207,299928,99976,1,4907,0
27,0.9417,0.0267,0.7135,0.0116,14.9915,0.5682,4.3675,5.8068,2.0256,299928,99976,1,4905,2
28,1.0574,0.0302,0.8141,0.0130,16.8048,0.5327,4.6352,6.0241,1.9308,299928,99976,1,4903,4
29,0.9698,0.0298,0.7222,0.0114,15.9302,0.6493,4.5342,6.1084,1.8159,299928,99976,1,4901,6
30,0.9832,0.0297,0.7389,0.0122,15.7104,0.6607,4.5162,6.1808,1.8034,299928,99976,1,4899,8
31,0.9539,0.0277,0.7138,0.0126,16.2431,0.7058,4.7535,6.1581,1.7488,299928,99976,1,4897,10
32,0.9961,0.0734,0.7089,0.0118,15.6805,0.6685,4.6540,5.9244,1.8368,299928,99976,1,4895,12
33,1.8624,0.1220,0.8802,0.0134,17.7210,0.6455,4.4927,5.9736,1.9626,299928,99976,1,4893,14
34,1.0122,0.0959,0.7068,0.0116,18.0409,1.0853,4.6170,5.7478,2.1013,299928,99976,1,4891,16
35,1.1153,0.0884,0.8258,0.0109,16.2740,0.5399,4.5030,5.8202,1.8902,299928,99976,1,4889,18
36,1.1516,0.0938,0.8522,0.0113,15.5860,0.6367,4.6843,5.7832,1.7558,299928,99976,1,4887,20
37,1.0065,0.1105,0.6925,0.0114,16.5753,0.6145,4.8388,5.7245,1.7900,299928,99976,1,4885,22
38,2.1954,0.1680,1.6421,0.0167,16.6392,0.6525,4.8814,6.0347,2.2750,299928,99976,1,4883,24
39,2.0549,0.1474,1.6666,0.0133,11.7188,0.5699,4.7354,5.8747,0.4165,299928,99976,1,4883,24
40,1.3772,0.1955,0.7535,0.0119,11.6695,0.6223,4.6483,5.8792,0.3805,299928,99976,1,4883,24
41,1.7434,0.2191,1.1552,0.0116,11.8648,0.6800,4.8130,5.7612,0.4473,299928,99976,1,4883,24
42,1.4239,0.3652,0.8623,0.0108,11.7236,0.7314,4.7026,5.7246,0.4045,299928,99976,1,4883,24
43,1.2877,0.1948,0.9062,0.0118,11.5360,0.5554,4.6882,5.7643,0.4143,299928,99976,1,4883,24
44,1.5239,0.0739,1.2320,0.0118,11.6964,0.7397,4.4422,5.8597,0.4492,299928,99976,1,4883,24
45,1.0435,0.1032,0.7311,0.0214,12.4866,0.7386,4.4787,6.7039,0.4081,299928,99976,1,4883,24
46,0.9207,0.1017,0.6357,0.0102,11.9917,0.5873,4.6035,6.1712,0.4802,299928,99976,1,4883,24
47,1.4002,0.0818,1.1006,0.0105,11.9980,0.6389,4.5367,6.1515,0.5125,299928,99976,1,4883,24
48,1.0983,0.0920,0.8073,0.0117,11.0853,0.5702,4.1810,5.7793,0.4353,299928,99976,1,4883,24
49,1.5757,0.0928,1.2816,0.0134,11.6192,0.7176,4.4608,5.8305,0.4570,299928,99976,1,4883,24
50,1.2085,0.1662,0.8218,0.0121,11.2915,0.6283,4.2593,5.8113,0.4593,299928,99976,1,4883,24
51,1.1199,0.0896,0.8365,0.0110,11.9834,0.6407,4.4576,6.2994,0.4422,299928,99976,1,4883,24
52,1.0766,0.1190,0.7511,0.0121,11.9608,0.5409,4.5498,6.3203,0.4280,299928,99976,1,4883,24
53,0.9656,0.0241,0.7612,0.0097,11.8278,0.5417,4.5012,6.2283,0.4333,299928,99976,1,4883,24
54,2.3171,0.0223,2.0944,0.0109,11.6353,0.5683,4.4728,6.0576,0.4163,299928,99976,1,4883,24
55,0.9031,0.0250,0.6884,0.0101,11.3361,0.5416,4.3986,5.8812,0.3972,299928,99976,1,4883,24
56,1.6244,0.1253,1.2763,0.0120,11.4527,0.8445,4.3409,5.6948,0.4001,299928,99976,1,4883,24
57,1.0872,0.0433,0.8091,0.0115,11.2504,0.6421,4.3573,5.7345,0.3885,299928,99976,1,4883,24
58,1.1355,0.1273,0.7630,0.0116,11.1477,0.5774,4.3381,5.7308,0.3805,299928,99976,1,4883,24
59,1.1654,0.1011,0.8429,0.0242,11.2119,0.5856,4.2878,5.8155,0.3911,299928,99976,1,4883,24
60,1.0365,0.0829,0.7520,0.0110,11.4188,0.6924,4.4319,5.7356,0.3890,299928,99976,1,4883,24
61,1.3234,0.0740,1.0842,0.0089,11.1293,0.6678,4.2935,5.5596,0.3983,299928,99976,1,4883,24
62,0.7410,0.0169,0.5752,0.0078,11.3048,0.6573,4.3756,5.7252,0.3926,299928,99976,1,4883,24
63,0.9482,0.1058,0.6525,0.0105,11.0958,0.5558,4.3666,5.6883,0.3781,299928,99976,1,4883,24
64,1.1689,0.0711,0.9215,0.0092,11.1005,0.6546,4.2479,5.6263,0.4231,299928,99976,1,4883,24
65,2.9452,0.1176,2.4759,0.0192,11.3110,0.6998,4.3267,5.7114,0.4108,299928,99976,1,4883,24
66,0.8165,0.0837,0.5732,0.0085,11.5963,0.6895,4.5581,5.7540,0.4331,299928,99976,1,4883,24
67,1.0114,0.0993,0.7095,0.0118,11.3141,0.5669,4.5627,5.6283,0.4422,299928,99976,1,4883,24
68,1.0507,0.1011,0.7331,0.0113,11.6466,0.6280,4.4992,5.8261,0.5357,299928,99976,1,4883,24
69,1.3086,0.2504,0.8642,0.0112,11.2891,0.6051,4.3209,5.7220,0.4967,299928,99976,1,4883,24
70,0.8875,0.0837,0.6297,0.0096,11.7993,0.6824,4.6723,5.8371,0.4582,299928,99976,1,4883,24
71,1.2756,0.0657,1.0385,0.0092,11.5565,0.6119,4.3157,5.9556,0.5132,299928,99976,1,4883,24
72,0.9787,0.0734,0.7340,0.0101,12.0176,0.6480,4.8257,6.0053,0.4166,299928,99976,1,4883,24
73,1.3398,0.0709,1.1037,0.0089,12.0423,0.6717,4.8307,5.9988,0.4110,299928,99976,1,4883,24
74,0.9174,0.1698,0.5755,0.0088,11.5259,0.5946,4.3957,5.9541,0.4436,299928,99976,1,4883,24
75,0.9080,0.0230,0.6922,0.0093,11.4517,0.7258,4.3428,5.7956,0.4323,299928,99976,1,4883,24
76,0.7904,0.0196,0.5968,0.0085,11.4038,0.6443,4.4280,5.7756,0.4056,299928,99976,1,4883,24
77,2.0012,0.0178,1.8230,0.0092,11.3254,0.6255,4.3290,5.8217,0.4169,299928,99976,1,4883,24
78,1.2811,0.0203,1.0902,0.0097,11.2538,0.7378,4.2335,5.7490,0.3868,299928,99976,1,4883,24
79,1.3208,0.0196,1.1348,0.0083,11.1597,0.6326,4.2181,5.7752,0.4032,299928,99976,1,4883,24
80,1.1780,0.0204,0.9821,0.0097,11.2582,0.7255,4.3836,5.6108,0.3853,299928,99976,1,4883,24
81,1.3757,0.1450,0.8568,0.0130,11.4146,0.8807,4.2850,5.6978,0.3865,299928,99976,1,4883,24
82,0.8818,0.0861,0.6251,0.0093,11.1862,0.6803,4.2533,5.6319,0.4388,299928,99976,1,4883,24
83,1.0620,0.1073,0.7491,0.0104,11.5209,0.6229,4.4276,5.8248,0.4697,299928,99976,1,4883,24
84,0.8515,0.0238,0.6451,0.0112,11.5331,0.6553,4.4189,5.8233,0.4706,299928,99976,1,4883,24
85,0.9721,0.1706,0.6262,0.0093,11.5311,0.6601,4.3297,5.9122,0.4571,299928,99976,1,4883,24
86,1.2494,0.2113,0.8519,0.0112,11.2678,0.5318,4.3042,5.8762,0.4341,299928,99976,1,4883,24
87,1.6144,0.1412,1.1203,0.0101,12.0029,0.7094,4.5341,6.1385,0.4507,299928,99976,1,4883,24
88,1.1364,0.0180,0.9538,0.0091,11.7878,0.6698,4.3907,6.0781,0.4859,299928,99976,1,4883,24
89,1.4684,0.0885,1.1943,0.0100,11.9018,0.6071,4.4295,6.2609,0.4636,299928,99976,1,4883,24
90,1.2898,0.0673,1.0398,0.0109,12.3157,0.6449,4.5988,6.4484,0.4497,299928,99976,1,4883,24
91,0.8557,0.0763,0.6160,0.0109,12.0671,0.5827,4.4904,6.3567,0.4657,299928,99976,1,4883,24
92,0.9736,0.0702,0.7361,0.0094,12.0955,0.6704,4.5550,6.3036,0.4193,299928,99976,1,4883,24
93,1.7538,0.2200,1.0197,0.0096,12.2271,0.6801,4.7256,6.2881,0.4025,299928,99976,1,4883,24
94,1.1817,0.1932,0.7029,0.0102,11.7984,0.5843,4.5379,6.1508,0.3993,299928,99976,1,4883,24
95,2.1065,0.3733,1.3779,0.0117,11.8512,0.6482,4.7595,5.9188,0.3866,299928,99976,1,4883,24
96,1.2090,0.0277,0.9762,0.0107,11.5255,0.6531,4.3627,5.9451,0.4012,299928,99976,1,4883,24
97,1.3702,0.2724,0.8889,0.0112,11.4359,0.6806,4.3113,5.8892,0.4123,299928,99976,1,4883,24
98,1.2812,0.0216,1.0627,0.0096,11.5253,0.6714,4.4472,5.8050,0.4169,299928,99976,1,4883,24
99,1.2924,0.2090,0.8490,0.0136,11.3289,0.6239,4.2172,5.9265,0.3803,299928,99976,1,4883,24
100,1.0995,0.1011,0.7691,0.0123,11.1538,0.6462,4.2794,5.6589,0.3802,299928,99976,1,4883,24
101,1.0506,0.0314,0.7864,0.0120,11.4027,0.6885,4.3091,5.8271,0.4288,299928,99976,1,4883,24
102,1.6951,0.0508,1.3589,0.0114,11.3226,0.6085,4.3335,5.8245,0.3928,299928,99976,1,4883,24
103,1.1712,0.0321,0.9065,0.0135,11.3519,0.6108,4.4127,5.8019,0.3839,299928,99976,1,4883,24
104,0.9960,0.0476,0.7262,0.0112,11.2804,0.5325,4.4370,5.8416,0.3658,299928,99976,1,4883,24
