frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,5.5165,0.8965,4.3790,0.0051,133.1589,0.7960,108.5543,22.7989,0.7957,208353,69451,1,10464,0
1,1.6110,0.2497,1.0919,0.0150,18.5373,1.1303,11.7199,4.9171,0.6302,208353,69451,1,10464,0
2,1.2970,0.0343,1.0207,0.0116,18.3033,0.7653,11.8324,4.9691,0.6349,208353,69451,1,10464,0
3,1.2628,0.0375,0.9498,0.0135,18.6493,0.8379,11.9410,5.1331,0.6346,208353,69451,1,10464,0
4,1.2081,0.0359,0.9416,0.0112,18.4385,0.8519,11.7749,5.0853,0.6124,208353,69451,1,10464,0
5,1.3535,0.0346,1.0965,0.0129,18.2650,0.6582,11.7428,5.0353,0.7332,208353,69451,1,10464,0
6,1.6813,0.0366,1.4176,0.0118,18.6701,0.8948,11.8914,5.1109,0.6348,208353,69451,1,10464,0
7,1.4161,0.0355,1.1598,0.0117,18.3163,0.8366,11.6562,5.1167,0.5939,208353,69451,1,10464,0
8,1.8447,0.0299,1.6060,0.0135,18.0311,0.6786,11.5635,5.0762,0.6086,208353,69451,1,10464,0
9,1.1036,0.0316,0.8691,0.0139,18.5332,0.5823,12.0208,5.2061,0.6286,208353,69451,1,10464,0
10,1.2275,0.0726,0.9373,0.0116,18.9273,1.3067,11.7435,5.1529,0.6034,208353,69451,1,10464,0
11,2.2022,0.0353,1.8946,0.0161,18.0548,0.6463,11.4963,5.1266,0.6741,208353,69451,1,10464,0
12,1.4345,0.0508,0.9595,0.0110,17.3726,0.8894,11.0445,4.7323,0.5754,208353,69451,1,10464,0
13,1.0824,0.0330,0.8374,0.0114,15.3725,0.7856,9.1706,4.7371,0.5921,208353,69451,1,10464,0
14,1.9147,0.0443,1.5272,0.0179,15.2831,0.8145,8.9111,4.8114,0.6446,208353,69451,1,10464,0
15,1.0873,0.0312,0.8502,0.0122,15.1081,0.7837,8.8220,4.7396,0.6517,208353,69451,1,10464,0
16,1.3932,0.0312,1.1306,0.0115,14.7944,0.7688,8.6876,4.7164,0.5302,208353,69451,1,10464,0
17,1.1739,0.0407,0.8600,0.0111,15.0268,0.7609,8.8234,4.7409,0.6103,208353,69451,1,10464,0
18,2.1079,0.0607,1.4585,0.0212,15.0628,0.7898,8.9555,4.7007,0.5273,208353,69451,1,10464,0
19,1.3926,0.0319,1.1528,0.0109,15.0469,0.7992,8.8583,4.7268,0.5704,208353,69451,1,10464,0
20,1.2333,0.0326,0.9700,0.0117,15.2131,0.7952,8.8696,4.8068,0.6367,208353,69451,1,10464,0
21,1.1603,0.0349,0.9001,0.0117,15.0226,0.7683,8.8243,4.7077,0.6037,208353,69451,1,10464,0
22,2.3481,0.0386,2.0723,0.0128,15.1766,0.9292,8.8577,4.7216,0.5401,208353,69451,1,10464,0
23,1.2295,0.0344,0.9517,0.0116,15.0187,0.6109,8.9361,4.7912,0.5883,208353,69451,1,10464,0
24,1.5243,0.0352,1.2603,0.0115,15.0118,0.7826,8.7798,4.7238,0.6201,208353,69451,1,10464,0
25,1.1255,0.0326,0.8819,0.0116,15.1407,0.7742,8.7836,4.8351,0.6017,208353,69451,1,10464,0
26,1.1985,0.0355,0.9402,0.0120,19.0325,0.7501,8.7712,4.7209,2.6189,208353,69451,1,10462,2
27,1.1664,0.0324,0.9231,0.0124,20.7345,0.7398,9.2419,4.8658,2.3986,208353,69451,1,10460,4
28,1.1729,0.0323,0.9170,0.0116,20.8835,0.8035,9.6550,4.9226,2.5838,208353,69451,1,10458,6
29,1.3736,0.0321,1.1298,0.0125,19.1889,0.7756,9.4322,4.8650,2.6357,208353,69451,1,10456,8
30,1.1367,0.0320,0.8914,0.0105,20.1360,0.7552,9.3163,4.8226,2.5405,208353,69451,1,10454,10
31,1.2888,0.0319,1.0461,0.0113,20.2651,1.0516,9.0888,4.8160,2.4080,208353,69451,1,10452,12
