frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
62,19.9678,0.4400,0.8000,0.0081,15.5662,0.8222,9.1495,4.8480,0.6387,208353,69451,1,10435,29
63,19.4187,0.0884,0.8108,0.0084,15.7347,0.8137,9.1129,5.0186,0.6626,208353,69451,1,10435,29
64,20.1281,0.0221,1.2776,0.0097,16.0790,1.4263,8.8770,4.8983,0.7020,208353,69451,1,10435,29
65,19.5146,0.0327,0.8648,0.0094,15.4808,0.7914,9.0780,4.8724,0.5906,208353,69451,1,10435,29
66,19.5007,0.0219,0.9932,0.0108,15.6352,0.8151,9.1964,4.9024,0.6068,208353,69451,1,10435,29
67,19.8154,0.0330,0.9228,0.0096,15.8808,0.9300,9.3644,4.8242,0.6393,208353,69451,1,10435,29
68,19.3367,0.0256,0.7852,0.0084,15.4635,0.7882,9.0595,4.8801,0.6256,208353,69451,1,10435,29
69,19.2166,0.0308,0.9760,0.0082,15.3870,0.7964,8.9359,4.9918,0.5563,208353,69451,1,10435,29
70,20.1556,0.0212,1.4175,0.0217,17.2847,0.7550,8.9504,5.0325,2.3597,208353,69451,1,10433,31
71,19.9472,0.0267,0.8152,0.0078,15.5157,0.6823,9.0635,5.0341,0.5851,208353,69451,1,10433,31
72,19.1925,0.0217,0.9011,0.0084,15.3144,0.7693,8.8687,4.9322,0.6103,208353,69451,1,10433,31
73,18.3804,0.0346,0.7929,0.0078,15.2392,0.8385,8.7174,4.9107,0.6616,208353,69451,1,10433,31
74,16.3517,0.0219,0.7805,0.0076,17.0590,0.8222,9.0020,4.8204,2.1499,208353,69451,1,10432,32
75,16.6877,0.0215,1.1844,0.0095,15.0498,0.7824,8.7582,4.8316,0.5775,208353,69451,1,10432,32
76,16.1382,0.0329,0.8164,0.0082,15.4829,0.8246,8.9864,4.8780,0.6594,208353,69451,1,10432,32
77,15.7098,0.0214,0.7331,0.0075,15.5370,0.7884,8.9287,4.9754,0.6548,208353,69451,1,10432,32
78,16.0186,0.0202,0.7867,0.0089,15.1889,0.8271,8.8442,4.7702,0.6230,208353,69451,1,10432,32
79,16.1450,0.0222,0.8983,0.0083,15.4867,0.8147,9.0151,4.8641,0.6810,208353,69451,1,10432,32
80,16.0416,0.0305,0.7883,0.0083,15.6298,0.7859,9.0095,5.1098,0.6068,208353,69451,1,10432,32
81,16.4307,0.0227,1.0055,0.0091,15.1468,0.6166,8.8862,4.9096,0.6254,208353,69451,1,10432,32
82,39.2861,0.0239,24.0521,0.0083,15.7072,0.9774,9.0924,4.7973,0.7178,208353,69451,1,10432,32
83,16.1322,0.0248,0.7701,0.0080,15.2633,0.7593,8.9490,4.8385,0.5962,208353,69451,1,10432,32
84,16.1252,0.0185,0.9054,0.0081,15.9741,0.8400,9.3056,5.0918,0.6218,208353,69451,1,10432,32
85,16.1585,0.0235,0.9386,0.0107,15.4261,0.8035,9.1056,4.8132,0.5854,208353,69451,1,10432,32
86,16.5407,0.0232,1.1695,0.0102,14.9744,0.7659,8.7089,4.7736,0.6215,208353,69451,1,10432,32
87,20.2138,0.0209,0.9599,0.0090,15.6109,0.9043,9.0209,4.8778,0.6691,208353,69451,1,10432,32
88,21.7481,0.0287,0.8171,0.0077,15.1594,0.8496,8.8990,4.6764,0.6177,208353,69451,1,10432,32
89,21.9721,0.0204,0.8834,0.0088,15.6678,0.8885,8.9763,5.0527,0.6193,208353,69451,1,10432,32
90,20.2135,0.0284,0.8220,0.0078,15.7382,0.9679,8.9380,5.0326,0.6574,208353,69451,1,10432,32
91,21.4356,0.0223,1.0955,0.0136,15.7238,0.8494,9.1760,4.9151,0.6508,208353,69451,1,10432,32
92,21.3130,0.0329,0.8445,0.0079,15.7440,0.8155,9.1557,4.9886,0.6341,208353,69451,1,10432,32
93,20.6078,0.0199,1.0397,0.0086,15.7711,0.8054,9.0405,5.0703,0.7150,208353,69451,1,10432,32
94,20.8218,0.0249,0.7929,0.0080,16.0538,1.0676,9.0710,5.0900,0.6634,208353,69451,1,10432,32
95,22.9591,0.0211,1.0686,0.0109,15.5787,0.7402,9.0466,5.0130,0.6404,208353,69451,1,10432,32
96,20.9481,0.0279,0.8086,0.0082,15.7747,1.0606,8.9937,4.9346,0.6395,208353,69451,1,10432,32
97,21.7380,0.0220,1.5850,0.0085,15.7464,0.9708,9.0857,4.9528,0.6074,208353,69451,1,10432,32
98,20.3836,0.0265,0.8084,0.0076,15.4580,0.7848,9.0795,4.8532,0.6284,208353,69451,1,10432,32
99,19.7930,0.0215,0.8847,0.0085,15.5045,0.8094,8.9289,4.9631,0.6723,208353,69451,1,10432,32
100,17.4411,0.0246,1.3320,0.0090,15.5934,0.9463,9.0490,4.8104,0.6435,208353,69451,1,10432,32
101,16.8939,0.0247,0.8720,0.0090,15.4898,0.8620,8.9405,4.9016,0.6368,208353,69451,1,10432,32
102,19.4222,0.0225,0.9385,0.0191,15.5910,0.7666,9.2478,4.7976,0.6417,208353,69451,1,10432,32
103,19.7850,0.0242,0.9037,0.0094,15.8427,0.9251,9.2561,4.8895,0.6115,208353,69451,1,10432,32
104,16.1223,0.0234,0.8074,0.0088,15.2653,0.7553,8.9693,4.8306,0.5986,208353,69451,1,10432,32
105,16.4697,0.0245,0.8251,0.0082,15.5220,0.8351,9.0891,4.8434,0.6366,208353,69451,1,10432,32
106,16.4526,0.0224,0.9403,0.0124,15.4590,0.6970,9.1874,4.8365,0.6101,208353,69451,1,10432,32
107,16.8951,0.0244,0.9386,0.0104,15.5784,0.7876,9.2035,4.8759,0.6010,208353,69451,1,10432,32
108,16.2706,0.0240,0.8150,0.0087,15.3899,0.7805,8.9436,4.9489,0.6086,208353,69451,1,10432,32
109,16.0161,0.0237,0.8767,0.0082,15.1978,0.8182,8.8418,4.8392,0.5975,208353,69451,1,10432,32
110,15.6815,0.0234,0.7958,0.0081,15.5546,0.9284,9.2427,4.7111,0.5655,208353,69451,1,10432,32
111,15.8733,0.0222,0.8557,0.0086,15.5935,0.8632,9.1768,4.8553,0.5979,208353,69451,1,10432,32
112,16.0546,0.0233,1.0425,0.0078,15.5373,0.9798,9.0286,4.7985,0.5827,208353,69451,1,10432,32
113,16.1022,0.0234,0.8234,0.0086,15.2456,0.7913,8.8993,4.8133,0.6351,208353,69451,1,10432,32
114,15.7010,0.0226,0.7904,0.0070,15.3998,0.8406,9.0139,4.7367,0.6606,208353,69451,1,10432,32
115,15.9557,0.0484,0.8761,0.0076,15.3282,0.8350,8.9150,4.7629,0.6722,208353,69451,1,10432,32
116,15.8212,0.0225,0.8624,0.0075,15.2490,0.7871,8.8466,4.7565,0.7260,208353,69451,1,10432,32
117,15.6030,0.0229,0.8086,0.0084,15.1234,0.8630,8.7056,4.8271,0.5958,208353,69451,1,10432,32
118,16.0906,0.0249,0.9184,0.0096,15.3643,0.7674,8.9865,4.7984,0.6783,208353,69451,1,10432,32
119,16.7037,0.0283,1.0732,0.0103,15.1894,0.7699,8.8870,4.8015,0.6161,208353,69451,1,10432,32
120,16.0643,0.0296,0.8053,0.0084,14.9782,0.7763,8.8129,4.6848,0.5926,208353,69451,1,10432,32
121,16.2978,0.0209,0.7793,0.0081,15.3134,0.8388,8.9313,4.8032,0.5896,208353,69451,1,10432,32
122,16.3522,0.0220,0.8255,0.0076,15.2211,0.8199,8.9491,4.7061,0.6345,208353,69451,1,10432,32
123,16.6028,0.0207,0.8349,0.0084,15.3254,0.8381,8.8452,4.8622,0.6619,208353,69451,1,10432,32
124,16.8605,0.0433,0.8825,0.0092,15.3143,0.8057,8.9735,4.8160,0.6014,208353,69451,1,10432,32
125,17.4243,0.0409,1.0775,0.0106,15.3640,0.7826,8.9449,4.8703,0.6147,208353,69451,1,10432,32
126,16.4894,0.0253,0.8070,0.0077,15.1962,0.8921,8.7083,4.8935,0.5867,208353,69451,1,10432,32
127,16.8906,0.0236,1.0134,0.0088,15.2973,0.9478,8.8684,4.7916,0.5743,208353,69451,1,10432,32
128,16.9073,0.0227,0.8206,0.0084,15.1873,0.8337,8.9515,4.7464,0.5469,208353,69451,1,10432,32
129,16.4825,0.0231,0.8195,0.0083,15.2419,0.8508,8.9452,4.7241,0.6096,208353,69451,1,10432,32
130,16.4177,0.0224,0.8323,0.0082,15.2347,0.7660,8.9540,4.7428,0.6547,208353,69451,1,10432,32
131,18.5787,0.0235,1.0609,0.0084,15.7218,1.1177,9.0834,4.7699,0.5748,208353,69451,1,10432,32
132,16.8057,0.0338,1.0522,0.0081,15.2665,0.7839,9.0199,4.7862,0.5691,208353,69451,1,10432,32
133,16.3310,0.0445,0.7983,0.0082,15.1295,0.7895,8.8835,4.7982,0.5584,208353,69451,1,10432,32
134,16.3601,0.0220,0.9112,0.0116,15.2495,0.8056,8.8172,4.9193,0.5984,208353,69451,1,10432,32
135,18.0106,0.0239,0.7672,0.0067,15.0612,0.8331,8.8265,4.7648,0.5391,208353,69451,1,10432,32
136,16.0435,0.0246,0.7948,0.0081,15.3833,0.8640,8.9461,4.8647,0.6084,208353,69451,1,10432,32
137,16.7048,0.0231,0.9981,0.0119,15.3620,0.7418,9.0657,4.7402,0.6908,208353,69451,1,10432,32
138,16.7727,0.0305,1.0086,0.0083,15.1862,0.8033,8.9026,4.7440,0.6092,208353,69451,1,10432,32
139,16.2903,0.0462,0.8680,0.0083,15.4133,0.8073,8.9185,4.9552,0.6109,208353,69451,1,10432,32
140,16.5217,0.0233,0.8267,0.0086,15.1370,0.7901,8.7870,4.8539,0.5902,208353,69451,1,10432,32
141,16.6966,0.0233,0.8661,0.0089,15.3027,0.7536,8.7817,5.0053,0.6216,208353,69451,1,10432,32
