frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
285,0,21.7651,0,0,5.55589,0.429884,0.83408,0.919724,46344,13.6318
286,0,10.1724,0,0,5.3443,0.383968,0.776776,0.873028,46344,20.3581
287,0,31.9231,0,0,4.63398,0.379236,0.777556,0.883272,46344,20.8936
288,0,15.9675,0,0,4.62654,0.395304,0.776516,0.864032,46344,21.2522
289,0,16.1738,0,0,4.62358,0.38974,0.775996,0.866372,46344,20.6895
290,0,15.958,0,0,5.37524,0.378508,0.795132,0.882544,46344,27.3738
291,0,16.002,0,0,5.73628,0.37674,0.779636,0.87022,46344,20.7939
292,0,31.875,0,0,4.76512,0.374192,0.773604,0.892632,46344,20.8149
293,0,16.1902,0,0,4.77074,0.376376,0.790504,0.869648,46344,21.3146
294,0,30.4963,0,1.06567,5.62094,0.38194,0.776204,0.88764,46344,27.3557
295,0,16.012,0,0,5.50196,0.393848,0.775372,0.87204,46344,20.956
296,0,16.1174,0,0,4.63512,0.371176,0.775632,0.862472,46344,20.9298
297,0,31.8447,0,0,4.88301,0.38376,0.77376,0.960544,46344,21.2026
298,0,15.6853,0,0,5.47347,0.38324,0.775996,0.878436,46344,27.3285
299,0,31.4126,0,0,5.4055,0.412724,0.783692,0.958828,46344,21.0333
300,0,15.9761,0,0,4.74422,0.464256,0.854724,0.871572,46344,20.4902
301,0,15.6672,0,0,4.728,0.384488,0.776412,0.870688,46344,21.163
302,0,15.6704,0,0,5.53826,0.419952,0.793832,0.88998,46344,27.4582
303,0,25.0129,0,0,5.34092,0.383916,0.78416,0.873652,46344,20.7305
304,0,22.6262,0,0,4.79315,0.398164,0.774748,0.922116,46344,20.8516
305,0,15.9683,0,0,4.72716,0.384332,0.7774,0.86944,46344,21.2646
306,0,16.0793,0,16.0747,5.32163,0.383864,0.773968,0.889408,46344,27.2956
307,0,21.2141,0,0,5.6759,0.412932,0.861744,0.880256,46344,20.8745
308,2.00684,14.0493,0,0,5.51964,0.417196,1.46723,0.9503,46344,20.8225
309,0,23.6072,0,0,4.7021,0.381108,0.775424,0.924612,46344,20.8063
310,0,16.0264,0,0,4.74469,0.38324,0.775216,0.874172,46344,21.5073
311,15.7622,15.6572,0,0,5.40592,0.389688,0.778804,0.921128,46344,27.0615
312,0,15.0217,0,0,5.68162,0.433264,0.830648,0.876096,46344,21.0924
313,0,12.5698,0,0,4.61718,0.379912,0.77454,0.871728,46344,20.6342
314,0,31.6948,0,0,4.87687,0.387036,0.776256,0.98696,46344,21.2011
315,0,15.7556,0,0,5.48366,0.382252,0.774696,0.885872,46344,27.4639
316,0,15.6638,0,0,5.39932,0.383656,0.78494,0.880568,46344,20.8282
317,0,15.8916,0,0,4.7696,0.398892,0.777452,0.871416,46344,20.7705
318,0,15.8293,0,0,4.58614,0.38532,0.774956,0.869544,46344,21.2131
319,0,33.7898,0,2.00708,4.79539,0.385528,0.774748,0.890136,46344,20.7353
320,0,17.3423,0,0,5.35116,0.385892,0.777504,0.890708,46344,27.5044
321,0,15.5564,0,0,5.59068,0.387556,0.776048,0.917124,46344,20.9451
322,0,16.0874,0,0,4.66549,0.412828,0.777608,0.877188,46344,20.7038
323,0,15.6406,0,0,4.73866,0.384592,0.77766,0.870792,46344,21.3194
324,0,15.6682,0,0,4.8595,0.450736,0.939328,0.909584,46344,20.9985
325,0,15.8569,0,0,5.61891,0.385632,0.775892,0.8892,46344,27.0638
326,0,15.7668,0,0,5.66914,0.381524,0.841724,0.892268,46344,20.9799
327,0,15.6497,0,0,4.93958,0.527332,0.776724,0.905112,46344,20.896
328,0,15.9226,0,15.8528,4.63502,0.38974,0.77714,0.874016,46344,21.0676
329,0,15.8145,0,0,5.56384,0.413816,0.8515,1.60742,46344,21.0686
330,0,24.0701,0,0,5.47633,0.38688,0.778128,0.889408,46344,27.1497
331,0,16.0227,0,0,5.46088,0.381732,0.776932,0.946348,46344,21.2388
332,0,15.6775,0,0,5.60024,0.415064,0.783016,0.877084,46344,20.5307
333,0,15.688,0,0,4.6202,0.378612,0.776204,0.87438,46344,20.751
334,0,15.6641,0,0,4.7267,0.380276,0.776308,0.874588,46344,21.6141
335,0,15.7563,0,0,5.41445,0.38168,0.778336,0.892164,46344,26.926
336,0,17.9077,0,0,5.53914,0.386048,0.795028,0.89388,46344,21.0171
337,0,13.8389,0,0,4.78353,0.406276,0.779116,0.877084,46344,20.7515
338,0,31.2747,0,0,4.71666,0.387816,0.781768,0.931892,46344,21.1887
339,0,19.4192,0,0,4.85165,0.41002,0.790504,0.897104,46344,20.8225
340,0,16.2371,0,0.515137,5.45386,0.409084,0.788736,0.927264,46344,27.4205
341,0,18.0859,0,0.532959,5.52573,0.371592,0.781508,0.923572,46344,20.8859
342,0,18.0972,0,0.516357,5.05799,0.419172,0.912808,0.922428,46344,20.7601
