frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
396,0,0,0,0,0,0,0,0,29000,13.7725
397,0,15.9009,0,0,4.39722,0.246064,0.73866,0.55172,29000,6.78968
398,0,16.0833,0,0,4.34205,0.2392,0.713284,1.26438,29000,20.3366
399,0,15.7588,0,0,4.35245,0.24206,0.712608,1.27988,29000,20.9422
400,0,15.9768,0,0,4.35651,0.241592,0.718328,1.26656,29000,20.8154
401,0,0,0,0,4.16728,0.245648,0.71318,0.564408,29000,20.9384
402,0,15.9729,0,0,4.30149,0.286728,0.74698,0.558116,29000,21.3566
403,0,15.8521,0,0,4.25017,0.248872,0.717392,1.32319,29000,20.2093
404,0,4.25513,0,0,4.33186,0.24596,0.711776,1.41159,29000,20.8201
405,0,16.0686,0,0,4.55868,0.247572,0.714792,0.565084,29000,20.843
406,0,16.0728,0,0,4.65962,0.259272,0.740896,1.44024,29000,20.7872
407,0,16.1287,0,0,3.475,0.246532,0.711152,0.546416,29000,20.844
408,0,16.2646,0,0,4.21689,0.258284,0.728208,1.25377,29000,20.8769
409,0,15.3357,0,0,4.47491,0.249808,0.720512,1.33052,29000,20.7877
410,0,15.7275,0,0,4.36493,0.243568,0.713856,0.56264,29000,20.9875
411,0,3.74121,12.2368,0,3.46044,0.243828,0.714428,0.546156,29000,20.9351
412,0,15.7983,0,0,3.50797,0.252564,0.721396,0.566592,29000,20.5455
413,0,21.1694,0,0,4.33982,0.24492,0.714064,1.24868,29000,21.018
414,0,0,0,16.0928,4.22906,0.244816,0.712816,1.30416,29000,20.8764
415,0,16.0615,0,0,3.5112,0.279604,0.723528,0.54782,29000,20.7634
416,0,15.8655,0,0,4.54241,0.271076,0.713076,0.565864,29000,20.7882
417,15.7432,0,0,0,3.45394,0.248404,0.715052,0.552968,29000,20.8755
418,0,15.7253,0,0,4.3666,0.245544,0.73424,1.26807,29000,20.9126
419,0,15.6553,0,0,4.35765,0.263016,0.711516,1.25263,29000,20.4263
420,0,15.7827,0,0,3.48499,0.251784,0.73268,0.553956,29000,20.9398
421,0,16.0774,0,0,4.41282,0.244972,0.719888,0.561964,29000,20.9365
422,0,15.7952,0,0,3.49024,0.259844,0.722384,0.544284,29000,20.7515
423,0,15.1299,0,0,4.39696,0.2574,0.7215,0.5616,29000,20.864
424,0,15.8606,0,0,3.47199,0.238264,0.711048,0.547768,29000,20.6642
425,0,15.8259,0,0,4.33534,0.254852,0.712504,1.24556,29000,21.0099
426,0,15.7021,0,0,3.48223,0.24726,0.713804,0.554476,29000,20.7906
427,0,15.9338,0,0,4.38266,0.247156,0.715624,0.56732,29000,20.8592
428,0,12.7632,0,0,3.46512,0.24336,0.711516,0.544076,29000,20.6871
429,0,14.0356,0,0,4.44002,0.254852,0.714064,1.30634,29000,20.7839
430,0,15.9832,0,0,4.24928,0.237848,0.712972,1.34415,29000,21.069
431,0,15.8586,0,0,4.37564,0.238108,0.71136,1.29054,29000,20.6285
432,0,15.7473,0,0,3.54292,0.29458,0.747708,0.550628,29000,20.9374
433,0,15.6594,0,0,4.51022,0.247104,0.711516,0.570336,29000,21.0824
434,0,15.6868,0,0,4.33436,0.263276,0.712296,0.571324,29000,20.6656
435,0.50708,14.3157,0,0.529297,4.17347,0.26338,0.728416,1.23526,29000,20.7748
436,0,13.8162,0.533203,0.631592,3.6802,0.243412,0.710008,0.555256,29000,20.7481
437,0,15.1284,0.518311,0,4.35438,0.243672,0.743704,1.33879,29000,20.9651
438,0,14.907,0,0.524414,4.3732,0.252148,0.716144,1.20557,29000,20.7214
439,0,13.5286,0.55127,0.519043,3.52726,0.246012,0.713024,0.614016,29000,20.9665
440,0,14.9485,0,0,4.21465,0.26936,0.711412,0.571272,29000,20.8125
441,0,16.0527,0,0,4.41116,0.243568,0.717236,1.24004,29000,20.7953
442,0,6.81396,0,0,3.4906,0.244296,0.71136,0.562692,29000,20.8325
443,0,15.8755,0,0,4.36556,0.243568,0.706888,1.25429,29000,20.8521
444,0,15.7371,0,0,3.63854,0.24076,0.714064,0.547612,29000,20.8607
445,0,0,0,0,3.46154,0.242892,0.713128,0.545844,29000,20.9441
446,0,15.981,0,0,4.43752,0.245544,0.743496,1.25195,29000,20.8168
447,0,15.9553,0,0,4.33898,0.245492,0.713752,1.24951,29000,20.6637
448,0,15.8115,0,0,3.46247,0.25558,0.7111,0.548444,29000,20.8197
449,0,15.6921,0,0,4.4656,0.24882,0.72592,0.566488,29000,21.6393
450,0,15.8188,0,0,3.74327,0.250744,0.707772,0.578136,29000,20.0963
451,0,15.782,0,0,3.4606,0.246896,0.710424,0.54756,29000,20.8616
452,0,15.4604,0,0,4.41022,0.243776,0.713336,1.32808,29000,20.7849
453,0,15.9224,0,0,3.75726,0.263172,0.726492,0.552136,29000,20.895
454,0,15.697,0,0,3.51312,0.248768,0.728364,0.56914,29000,20.7238
455,0,15.8176,0,0,4.39036,0.2561,0.731432,1.44024,29000,21.4968
456,0,21.1968,0,0,4.51422,0.249496,0.723528,1.39526,29000,20.7548
457,0,10.7188,0,0,3.5218,0.260468,0.725192,0.573872,29000,20.7028
458,0,0,16.0332,0,4.40913,0.253292,0.74282,1.46796,29000,21.1968
459,0,15.9106,0,0,4.54407,0.24726,0.723424,0.583492,29000,20.71
460,0,15.7117,0,0,4.44605,0.251004,0.71318,1.30993,29000,20.4353
461,0,25.8311,0,0,3.49981,0.248092,0.715572,0.566228,29000,20.5469
462,0,12.0449,0,0,3.46107,0.247104,0.70954,0.550628,29000,20.8755
463,0,15.8845,0,0,4.40825,0.252304,0.713284,1.32007,29000,20.7596
464,0,16.0549,0,0,4.45276,0.288756,0.709488,1.2388,29000,20.906
465,0,15.7473,0,0,3.4749,0.241072,0.71526,0.550524,29000,20.6699
466,0,15.8289,0,0,4.4071,0.242788,0.71604,1.28716,29000,20.813
467,0,15.7959,0,0,4.49238,0.26468,0.714584,1.37909,29000,20.9794
468,0,15.7117,0,0,3.46164,0.24414,0.713648,0.544648,29000,20.7372
469,0,16.1262,0,0,3.49768,0.253448,0.732628,0.562848,29000,20.9498
470,0,16.0312,0,0,3.6986,0.255528,0.744276,0.564252,29000,20.8955
471,0,3.27612,0,0,3.73116,0.255008,0.717964,0.570492,29000,20.9861
472,0,15.8135,0,5.12866,3.5112,0.246636,0.725088,0.5681,29000,21.1782
