frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
362,0,2.33838,0,0,6.09071,0.318292,0.910988,0.784836,32488,7.01141
363,0,13.5271,0,0,4.83839,0.2704,0.725816,1.33203,32488,13.2236
364,0,14.3323,0,0,3.92548,0.267488,0.7241,0.624052,32488,21.292
365,0,15.6843,0,0,4.80537,0.273988,0.718172,1.50296,32488,13.968
366,0,17.1436,0,0,3.95751,0.282048,0.722696,0.631072,32488,20.427
367,0,17.6885,0,0,4.71661,0.266604,0.737256,1.39994,32488,14.2667
368,0,8.18384,0,0,3.92532,0.269204,0.721344,0.627692,32488,20.5576
369,0,15.689,0,0,4.95383,0.287508,0.738088,0.64818,32488,14.1294
370,0,24.0591,0,0,4.1834,0.2691,0.722384,0.625092,32488,20.3795
371,0,7.28052,0,0,4.96324,0.266448,0.721708,0.64688,32488,14.3213
372,0,0,0,0,3.88476,0.265824,0.726544,0.62738,32488,22.3582
373,0,29.4326,0,0,4.58115,0.263796,0.720928,1.33011,32488,12.4538
374,0,5.45581,0,10.2183,4.16842,0.263276,0.722956,0.62972,32488,20.278
375,0,16.021,0,0,4.90183,0.264992,0.723112,0.652496,32488,14.251
376,0,15.9119,0,0,3.8817,0.263016,0.724464,0.626184,32488,20.5119
377,0,16.0022,0,0,4.10431,0.26806,0.7254,0.636896,32488,14.2362
378,0,15.9382,0,0,4.08226,0.261976,0.72124,0.627952,32488,20.5355
379,0,18.2153,0,0,4.58671,0.266084,0.721656,1.3363,32488,14.2984
380,0,13.2893,0,0,4.18163,0.263224,0.724256,0.625196,32488,20.4811
381,0,17.3396,0,0,4.86798,0.263692,0.724204,0.64662,32488,14.2553
382,14.115,0,0,0,3.88066,0.26208,0.717652,0.631072,32488,20.2904
383,0,19.834,0,0,4.79981,0.284544,0.721916,1.31212,32488,14.4329
384,0,0,0,0,3.93245,0.265252,0.730704,0.628212,32488,20.4217
385,0,15.7073,0,0,4.9089,0.270296,0.722436,1.40317,32488,14.3652
386,0,16.1353,0,0,3.91815,0.268788,0.723736,0.636792,32488,20.6475
387,0,16.0645,0,0,4.67938,0.27014,0.72488,1.38908,32488,14.1349
388,0,16.0442,0,0,4.21195,0.26442,0.724672,0.628212,32488,20.2103
389,0,15.9375,0,0,4.65312,0.265772,0.724828,1.40702,32488,14.4689
390,0,22.334,0,0,4.199,0.2964,0.748436,0.641992,32488,20.4735
391,0,9.36719,0,0,4.71333,0.273052,0.721916,1.40592,32488,14.209
392,0,15.729,0,0,4.19437,0.266656,0.7332,0.625144,32488,20.4749
393,0,17.7402,0,0,4.86242,0.271752,0.7228,1.59723,32488,14.5211
394,0,0,0,0,4.18038,0.271856,0.725192,0.626756,32488,20.4234
395,0,0,0,0,4.71234,0.272324,0.725608,1.44674,32488,14.1644
396,0,16.0269,0,1.05737,4.11206,0.265252,0.724672,0.64792,32488,20.6504
397,0,15.0315,0,0,5.00292,0.271544,0.725608,1.4405,32488,13.9673
398,0,17.9182,0,0,3.92423,0.26598,0.750308,0.635128,32488,20.6201
399,0,9.76807,0,0,4.95758,0.343876,0.726388,1.40852,32488,14.1723
400,0,15.7283,0,0,3.92772,0.268736,0.723996,0.625248,32488,20.3512
401,0,16.0779,0,0,4.89076,0.286936,0.745264,1.3495,32488,14.2293
402,0,21.6238,0,0,3.90296,0.266136,0.722644,0.62504,32488,20.5128
403,0,10.4695,0,0,4.69222,0.270556,0.723632,1.44669,32488,14.1654
404,0,0,0,0,4.12547,0.269048,0.722384,0.628212,32488,21.359
405,0,19.2356,0,0,4.72607,0.270972,0.728988,0.650416,32488,13.3529
406,0,0,0,0,4.18522,0.271128,0.725348,0.625092,32488,20.5777
407,0,0,15.9006,0,4.94645,0.270608,0.723164,1.39807,32488,14.5395
408,0,16.0728,0,0,3.88222,0.267696,0.72384,0.624676,32488,20.165
409,0,15.78,0,0,4.83657,0.267384,0.725504,1.36739,32488,14.2212
410,0,19.6746,0,0,3.90983,0.288132,0.721396,0.629928,32488,20.2832
411,0,11.9155,0,0,4.65754,0.29458,0.73918,1.35528,32488,14.2639
412,0,16.0632,0,0,4.21668,0.298688,0.808756,0.640588,32488,20.3831
413,0,23.6287,0,1.12646,4.71884,0.299208,0.71994,1.3859,32488,14.4205
414,0,11.5056,0,0.519531,3.91607,0.266448,0.720668,0.6357,32488,20.3762
415,0,14.9106,0,0.531738,4.9752,0.2977,0.724048,1.35559,32488,14.2758
416,0,11.1758,0,0.520508,3.90005,0.265096,0.723476,0.652704,32488,20.4761
417,0,13.9465,0,0,4.73554,0.27352,0.729248,1.41669,32488,14.6582
