frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
0,7.6145,0,1.03906,10.1545,0,0,0,0,46344,2009
1,0,0,0,0,0,0,0,0,46344,16.5763
2,0,0,0,0,0,0,0,0,46344,5.03945
3,0,0,16.1064,0,0,0,0,0,46344,7.39861
4,0,0,0,0,0,0,0,0,46344,14.1027
5,0,0,0,0,0,0,0,0,46344,6.98924
6,0,0,0,0,0,0,0,0,46344,6.85263
7,0,0,2.96582,0,0,0,0,0,46344,7.0231
8,0,0,8.96924,0,0,0,0,0,46344,6.91128
9,0,0,7.79346,0,0,0,0,0,46344,6.89602
10,0,0,0,0,0,0,0,0,46344,6.72793
11,0,0,13.1506,0,0,0,0,0,46344,7.47156
12,0,0,0,0,0,0,0,0,46344,13.4385
13,0,0,0,0,0,0,0,0,46344,6.93631
14,0,0,0,0,0,0,0,0,46344,7.0045
15,0,0,0,0,0,0,0,0,46344,7.03597
16,0,0,0,0,0,0,0,0,46344,6.79517
17,0,0,15.8115,0,0,0,0,0,46344,7.28989
18,0,0,0,0,0,0,0,0,46344,13.8249
19,0,0,0,0,0,0,0,0,46344,6.87599
20,0,0,0,0,0,0,0,0,46344,6.88124
21,0,0,0,0,0,0,0,0,46344,6.84428
22,0,0,12.1172,0,0,0,0,0,46344,7.0529
23,0,0,0,0,0,0,0,0,46344,7.01308
24,0,0,0,0,0,0,0,0,46344,7.06863
25,0,0,0,0,0,0,0,0,46344,13.8111
26,0,0,0,0,0,0,0,0,46344,6.72197
27,0,0,0,0,0,0,0,0,46344,7.02882
28,0,0,0,0,0,0,0,0,46344,6.98805
29,0,0,0,0,0,0,0,0,46344,6.88148
30,0,0,0,0,0,0,0,0,46344,6.87027
31,0,0,15.8892,0,0,0,0,0,46344,6.72817
32,0,0,0,0,0,0,0,0,46344,7.48229
33,0,0,0,0,0,0,0,0,46344,13.6755
34,0,0,13.1594,0,0,0,0,0,46344,6.88291
35,0,0,0,0,0,0,0,0,46344,7.18164
36,0,0,0,0,0,0,0,0,46344,7.02953
37,0,0,0,0,0,0,0,0,46344,6.4013
