frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
0,0.844482,0,1.02783,6.10303,0,0,0,0,32488,504.955
1,0,0,0,0,0,0,0,0,32488,14.875
2,1.00952,0,0,0,0,0,0,0,32488,6.71458
3,0,0,0,0,0,0,0,0,32488,7.16341
4,0,0,0,0,0,0,0,0,32488,7.5717
5,0,0,0,0,0,0,0,0,32488,6.39123
6,0,0,0,0,0,0,0,0,32488,7.08538
7,0,0,0,0,0,0,0,0,32488,6.61087
8,0,0,0,0,0,0,0,0,32488,6.98882
9,0,0,0,0,0,0,0,0,32488,6.8844
10,0,0,0,0,0,0,0,0,32488,7.07704
11,0,0,0,0,0,0,0,0,32488,6.81478
12,0,0,0,0,0,0,0,0,32488,6.88177
13,0,0,0,0,0,0,0,0,32488,6.92624
14,0,0,0,0,0,0,0,0,32488,7.16311
15,0,0,0,0,0,0,0,0,32488,6.87146
16,0,15.325,0,0,0,0,0,0,32488,6.93494
17,0,0,0,0,0,0,0,0,32488,6.98346
18,0,0,0,0,0,0,0,0,32488,6.8323
19,0,0,0,0,0,0,0,0,32488,7.03561
20,0,0,0,0,0,0,0,0,32488,7.48682
21,0,0,0,0,0,0,0,0,32488,6.40768
22,0,0,0,0,0,0,0,0,32488,6.88368
23,0,0,0,0,0,0,0,0,32488,7.00891
24,0,0,0,0,0,0,0,0,32488,6.92701
25,0,0,0,0,0,0,0,0,32488,7.14767
26,0,0,0,0,0,0,0,0,32488,6.71315
27,0,0,0,0,0,0,0,0,32488,7.0166
28,0,0,0,0,0,0,0,0,32488,6.85436
29,0,0,0,0,0,0,0,0,32488,7.04861
30,0,0,0,0,0,0,0,0,32488,6.94871
31,0,0,0,0,0,0,0,0,32488,6.99311
32,0,0,0,11.5698,0,0,0,0,32488,6.91926
33,0,0,0,0,0,0,0,0,32488,7.08079
34,0,0,0,0,0,0,0,0,32488,6.83296
35,0,0,0,0,0,0,0,0,32488,7.44557
36,0,0,0,0,0,0,0,0,32488,6.38342
37,0,0,0,0,0,0,0,0,32488,6.81031
38,0,0,0,0,0,0,0,0,32488,7.08276
39,0,0,0,0,0,0,0,0,32488,7.20352
40,0,0,0,0,0,0,0,0,32488,7.47782
41,0,0,0,16.0852,0,0,0,0,32488,7.04277
42,0,0,0,0,0,0,0,0,32488,6.80989
43,0,0,0,0,0,0,0,0,32488,7.03722
44,0,0,0,0,0,0,0,0,32488,7.15578
45,0,0,0,0,0,0,0,0,32488,6.66791
46,0,0,0,0,0,0,0,0,32488,6.50311
47,0,0,0,0,0,0,0,0,32488,6.5217
48,15.7251,0,0,0,0,0,0,0,32488,7.08181
49,0,0,0,0,0,0,0,0,32488,6.86228
50,0,0,0,0,0,0,0,0,32488,6.86353
51,0,0,0,1.125,0,0,0,0,32488,7.9999
52,0,0,0,0,0,0,0,0,32488,6.12545
53,0,0,0,0,0,0,0,0,32488,7.97421
54,0,0,0,0,0,0,0,0,32488,7.84892
55,0,0,0,0,0,0,0,0,32488,4.94373
56,0,0,0,15.843,0,0,0,0,32488,8.39525
57,0,0,0,0,0,0,0,0,32488,6.84464
58,0,0,0,0,0,0,0,0,32488,6.23387
59,0,0,0,0,0,0,0,0,32488,6.35278
60,0,0,0,0,0,0,0,0,32488,7.16221
61,0,0,0,0,0,0,0,0,32488,6.58053
62,0,0,0,0,0,0,0,0,32488,6.72126
63,0,0,0,0,0,0,0,0,32488,6.89352
64,0,0,0,0,0,0,0,0,32488,7.09772
65,0,0,0,0,0,0,0,0,32488,6.89
66,0,0,0,0,0,0,0,0,32488,6.79398
67,0,0,0,0,0,0,0,0,32488,7.41088
68,0,0,0,0,0,0,0,0,32488,7.20692
69,0,0,0,0,0,0,0,0,32488,6.56402
70,0,0,0,0,0,0,0,0,32488,6.9567
71,0,0,0,0,0,0,0,0,32488,6.86431
72,0,0,0,0,0,0,0,0,32488,7.30574
73,0,0,0,0,0,0,0,0,32488,7.05624
74,0,0,0,0,0,0,0,0,32488,7.26926
75,0,0,0,1.49048,0,0,0,0,32488,6.24073
76,0,0,0,0,0,0,0,0,32488,7.54142
77,0,0,0,0,0,0,0,0,32488,6.77276
78,0,0,0,0,0,0,0,0,32488,6.59132
79,0,0,0,0,0,0,0,0,32488,6.78444
80,0,0,0,0,0,0,0,0,32488,7.00057
81,0,0,0,0,0,0,0,0,32488,6.91271
82,0,0,0,0,0,0,0,0,32488,7.18296
83,0,0,0,0,0,0,0,0,32488,6.85549
84,0,0,0,0,0,0,0,0,32488,7.10678
85,0,0,0,0,0,0,0,0,32488,6.91473
86,0,0,0,0,0,0,0,0,32488,6.88851
87,0,0,0,0,0,0,0,0,32488,6.88958
88,0,0,0,0,0,0,0,0,32488,6.82569
89,0,0,0,0,0,0,0,0,32488,6.93679
90,0,0,0,0,0,0,0,0,32488,7.04134
91,0,0,0,0,0,0,0,0,32488,6.8897
92,0,0,0,0,0,0,0,0,32488,6.99413
93,0,0,0,0,0,0,0,0,32488,6.69646
94,0,0,0,0,0,0,0,0,32488,7.02894
95,0,0,0,0,0,0,0,0,32488,6.89614
96,0,0,0,0,0,0,0,0,32488,7.11143
97,0,0,0,0,0,0,0,0,32488,6.9629
98,0,0,0,0,0,0,0,0,32488,6.7904
99,0,0,0,0,0,0,0,0,32488,6.97291
100,0,0,0,0,0,0,0,0,32488,6.8779
101,0,0,0,0,0,0,0,0,32488,6.88624
102,0,0,0,1.27173,0,0,0,0,32488,6.97494
103,0,0,0,0,0,0,0,0,32488,6.91521
104,0,0,0,0,0,0,0,0,32488,6.94001
105,0,0,0,0,0,0,0,0,32488,6.90734
106,0,0,0,0,0,0,0,0,32488,6.90615
107,0,0,0,0,0,0,0,0,32488,7.07281
108,0,0,0,0,0,0,0,0,32488,6.7879
109,0,0,0,0,0,0,0,0,32488,6.96039
110,0,0,0,0,0,0,0,0,32488,7.0827
111,0,0,0,0,0,0,0,0,32488,6.79183
112,0,0,0,0,0,0,0,0,32488,7.02488
113,0,0,0,0,0,0,0,0,32488,7.19929
114,0,0,0,0,0,0,0,0,32488,6.7302
115,0,0,0,0,0,0,0,0,32488,6.99675
116,0,0,0,0,0,0,0,0,32488,6.94549
117,0,0,0,0,0,0,0,0,32488,6.8624
118,0,0,0,0,0,0,0,0,32488,6.99103
119,0,0,0,0,0,0,0,0,32488,6.83784
120,0,0,0,0,0,0,0,0,32488,6.935
121,0,0,0,0,0,0,0,0,32488,7.20787
122,0,0,0,0,0,0,0,0,32488,6.71053
123,0,0,0,0,0,0,0,0,32488,6.97112
124,0,0,0,0,0,0,0,0,32488,7.01594
125,0,0,0,0,0,0,0,0,32488,6.8928
126,0,0,0,0,0,0,0,0,32488,6.92844
127,0,0,0,0,0,0,0,0,32488,6.91354
128,0,0,0,0,0,0,0,0,32488,7.04801
129,0,0,0,0,0,0,0,0,32488,6.8121
130,0,0,0,0,0,0,0,0,32488,7.08973
131,0,0,0,0,0,0,0,0,32488,6.85954
132,0,0,0,0,0,0,0,0,32488,7.13301
133,0,0,0,0,0,0,0,0,32488,6.7234
134,0,0,0,0,0,0,0,0,32488,6.98864
135,0,0,0,0,0,0,0,0,32488,7.14111
136,0,0,0,0,0,0,0,0,32488,6.66356
137,0,0,0,0,0,0,0,0,32488,6.99329
138,0,0,0,0,0,0,0,0,32488,7.05004
139,0,0,0,0,0,0,0,0,32488,6.8115
140,0,0,0,0,0,0,0,0,32488,6.93631
141,0,0,0,0,0,0,0,0,32488,6.97672
142,0,0,0,0,0,0,0,0,32488,6.87957
143,0,0,0,0,0,0,0,0,32488,6.99043
144,0,0,0,0,0,0,0,0,32488,7.00498
145,0,0,0,0,0,0,0,0,32488,6.84857
146,0,0,0,0,0,0,0,0,32488,6.93905
147,0,0,0,0,0,0,0,0,32488,6.92356
148,0,0,0,0,0,0,0,0,32488,7.39598
149,0,0,0,0,0,0,0,0,32488,6.57868
150,0,0,0,0,0,0,0,0,32488,6.97184
151,0,0,0,0,0,0,0,0,32488,6.94561
152,0,0,0,0,0,0,0,0,32488,6.80947
153,0,0,0,0,0,0,0,0,32488,7.09879
154,0,0,0,0,0,0,0,0,32488,6.8531
155,0,0,0,0,0,0,0,0,32488,6.95562
156,0,0,0,0,0,0,0,0,32488,6.97911
157,0,0,0,0,0,0,0,0,32488,6.97792
158,0,0,0,0,0,0,0,0,32488,6.87146
159,0,0,0,0,0,0,0,0,32488,6.92677
160,0,0,0,0,0,0,0,0,32488,6.93369
161,0,0,0,0,0,0,0,0,32488,7.94744
162,0,0,0,0,0,0,0,0,32488,6.10399
163,0,0,0,0,0,0,0,0,32488,6.96981
164,0,0,0,0,0,0,0,0,32488,6.99115
165,0,0,0,0,0,0,0,0,32488,6.83904
166,0,0,0,0,0,0,0,0,32488,7.04575
167,0,0,0,0,0,0,0,0,32488,7.00247
168,0,0,0,0,0,0,0,0,32488,6.8357
169,0,0,0,0,0,0,0,0,32488,7.39717
170,0,0,0,0,0,0,0,0,32488,6.89948
171,0,0,0,0,0,0,0,0,32488,7.24781
172,0,0,0,0,0,0,0,0,32488,7.18629
173,0,0,0,0,0,0,0,0,32488,5.57911
174,0,0,0,0,0,0,0,0,32488,7.29334
175,0,0,0,1.01074,0,0,0,0,32488,6.92689
176,0,0,0,1.02612,0,0,0,0,32488,7.00009
177,0,0,0,0,0,0,0,0,32488,6.78337
178,0,0,0,0,0,0,0,0,32488,6.92344
179,0,0,0,0,0,0,0,0,32488,7.01737
180,0,0,0,0,0,0,0,0,32488,7.02584
181,0,0,0,0.527344,0,0,0,0,32488,7.12144
