frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,4.5003,0.1325,4.1806,0.0047,139.6856,1.5713,109.9516,27.2237,0.7483,208353,69451,1,10464,0
1,1.1835,0.0353,0.9118,0.0161,19.2685,1.6315,11.8364,4.9284,0.6567,208353,69451,1,10464,0
2,1.8590,0.0287,1.5702,0.0113,19.1736,1.5125,11.8939,4.9907,0.6459,208353,69451,1,10464,0
3,1.6736,0.0547,1.2912,0.0255,19.0178,1.3687,11.7608,5.0986,0.6534,208353,69451,1,10464,0
4,1.2197,0.0395,0.8795,0.0139,19.4958,1.7128,11.7545,5.1722,0.6832,208353,69451,1,10464,0
5,1.8493,0.0411,1.4291,0.0164,17.8995,1.2747,11.0247,4.9214,0.5685,208353,69451,1,10464,0
6,1.1908,0.0325,0.9130,0.0137,18.5830,1.6651,11.1477,4.9882,0.6419,208353,69451,1,10464,0
7,1.3567,0.0277,1.1009,0.0123,18.2553,1.2471,11.0373,5.0233,0.8005,208353,69451,1,10464,0
8,1.5006,0.0272,1.2513,0.0122,18.1093,1.2418,11.0865,5.0701,0.5777,208353,69451,1,10464,0
9,1.2547,0.0299,1.0044,0.0144,18.4356,1.6284,11.0370,4.9905,0.6728,208353,69451,1,10464,0
10,1.5447,0.0276,1.2997,0.0125,18.1097,1.2764,10.8363,5.1757,0.7034,208353,69451,1,10464,0
11,1.5220,0.0285,1.2681,0.0120,17.8904,1.1888,10.7575,5.0879,0.7377,208353,69451,1,10464,0
12,1.5347,0.0311,1.2660,0.0131,17.7995,1.1933,10.8112,5.0572,0.6130,208353,69451,1,10464,0
13,1.6076,0.0264,1.3472,0.0131,18.0420,1.3262,10.9810,4.9854,0.6172,208353,69451,1,10464,0
14,1.3445,0.0282,1.0974,0.0121,18.4492,1.6610,10.9469,5.0658,0.6239,208353,69451,1,10464,0
15,1.1052,0.0258,0.8670,0.0129,16.4811,1.3354,9.6534,4.7696,0.6050,208353,69451,1,10464,0
16,1.6324,0.0298,1.3788,0.0118,15.6844,1.2574,8.9977,4.7535,0.5647,208353,69451,1,10464,0
17,1.2934,0.0271,1.0466,0.0118,16.0542,1.5293,9.0137,4.7419,0.6239,208353,69451,1,10464,0
18,1.5175,0.0276,1.2754,0.0114,15.7393,1.2888,9.0545,4.7023,0.5829,208353,69451,1,10464,0
19,1.6115,0.0295,1.3515,0.0136,15.7046,1.2522,8.9317,4.7850,0.6331,208353,69451,1,10464,0
20,1.3277,0.0295,1.0706,0.0118,15.9366,1.5245,8.7955,4.8278,0.6482,208353,69451,1,10464,0
21,1.2133,0.0290,0.9576,0.0134,16.2391,1.6129,8.9755,4.8081,0.6718,208353,69451,1,10464,0
22,1.4164,0.0284,1.1565,0.0122,16.0130,1.1327,8.9135,5.1908,0.6577,208353,69451,1,10464,0
23,1.8380,0.0269,1.4574,0.0127,16.1814,1.5195,9.0194,4.8599,0.6596,208353,69451,1,10464,0
24,1.6346,0.0276,1.3829,0.0118,16.0272,1.4979,8.9093,4.8735,0.6202,208353,69451,1,10464,0
25,1.4909,0.0283,1.2392,0.0127,16.0972,1.4384,8.7680,5.0781,0.6631,208353,69451,1,10464,0
26,1.1292,0.0296,0.8823,0.0119,16.0205,1.5954,8.9096,4.8023,0.5854,208353,69451,1,10464,0
27,1.6000,0.0258,1.3586,0.0118,23.0593,1.4920,8.8833,4.8980,3.5450,208353,69451,1,10462,2
28,1.5193,0.0399,1.2355,0.0129,41.2490,22.0351,9.6223,4.7924,3.1999,208353,69451,1,10460,4
29,2.4139,0.0402,1.9990,0.0260,43.2783,21.7008,9.0448,4.9570,3.0614,208353,69451,1,10458,6
30,6.6110,5.1799,1.1153,0.0142,40.1608,21.6637,9.2072,4.9160,2.7622,208353,69451,1,10456,8
31,1.6451,0.1483,1.2102,0.0149,39.9435,21.5586,9.2328,4.6025,2.8512,208353,69451,1,10454,10
32,2.0621,0.7447,1.0672,0.0143,40.1577,21.5124,9.2939,4.8946,2.9261,208353,69451,1,10452,12
33,1.3495,0.2054,0.9100,0.0127,42.1148,21.7027,9.1928,5.0574,2.8713,208353,69451,1,10450,14
34,1.3736,0.0250,1.1538,0.0108,40.0093,21.5001,9.2867,4.9813,2.7406,208353,69451,1,10448,16
35,1.5176,0.0290,1.2726,0.0127,41.4385,21.7572,9.2176,5.0297,2.8889,208353,69451,1,10446,18
36,1.7520,0.0271,1.5127,0.0115,42.4546,21.7906,8.9132,4.9462,2.8947,208353,69451,1,10444,20
37,1.7859,0.0704,1.4627,0.0143,40.6507,21.5299,8.8926,4.8516,2.7575,208353,69451,1,10442,22
38,1.9454,0.0458,1.4997,0.0144,42.6926,21.8295,8.8847,4.8471,3.4055,208353,69451,1,10440,24
39,1.6101,0.0309,1.3363,0.0121,40.1425,22.4869,9.2424,4.6704,3.0890,208353,69451,1,10438,26
40,1.6162,0.0295,1.3741,0.0258,42.2602,22.5215,9.1223,5.1430,2.9529,208353,69451,1,10436,28
41,1.7026,0.0266,1.4535,0.0127,41.4476,22.2050,8.9008,5.0196,2.9296,208353,69451,1,10434,30
42,1.1729,0.0266,0.9463,0.0116,40.3814,21.7245,8.9124,5.0053,3.0397,208353,69451,1,10432,32
43,1.5021,0.0293,1.2170,0.0121,36.6869,22.0259,8.9069,5.0702,0.5623,208353,69451,1,10432,32
44,2.1215,0.0305,1.8433,0.0136,36.2529,21.7021,9.0001,4.8832,0.5559,208353,69451,1,10432,32
45,1.4238,0.0531,1.0949,0.0141,35.5024,20.9023,8.8633,5.0497,0.5742,208353,69451,1,10432,32
46,1.2617,0.0286,1.0209,0.0227,37.8122,23.3215,8.9250,4.9164,0.5372,208353,69451,1,10432,32
