frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
31,1.6451,0.1483,1.2102,0.0149,39.9435,21.5586,9.2328,4.6025,2.8512,208353,69451,1,10454,10
32,2.0621,0.7447,1.0672,0.0143,40.1577,21.5124,9.2939,4.8946,2.9261,208353,69451,1,10452,12
33,1.3495,0.2054,0.9100,0.0127,42.1148,21.7027,9.1928,5.0574,2.8713,208353,69451,1,10450,14
34,1.3736,0.0250,1.1538,0.0108,40.0093,21.5001,9.2867,4.9813,2.7406,208353,69451,1,10448,16
35,1.5176,0.0290,1.2726,0.0127,41.4385,21.7572,9.2176,5.0297,2.8889,208353,69451,1,10446,18
36,1.7520,0.0271,1.5127,0.0115,42.4546,21.7906,8.9132,4.9462,2.8947,208353,69451,1,10444,20
37,1.7859,0.0704,1.4627,0.0143,40.6507,21.5299,8.8926,4.8516,2.7575,208353,69451,1,10442,22
38,1.9454,0.0458,1.4997,0.0144,42.6926,21.8295,8.8847,4.8471,3.4055,208353,69451,1,10440,24
39,1.6101,0.0309,1.3363,0.0121,40.1425,22.4869,9.2424,4.6704,3.0890,208353,69451,1,10438,26
40,1.6162,0.0295,1.3741,0.0258,42.2602,22.5215,9.1223,5.1430,2.9529,208353,69451,1,10436,28
41,1.7026,0.0266,1.4535,0.0127,41.4476,22.2050,8.9008,5.0196,2.9296,208353,69451,1,10434,30
42,1.1729,0.0266,0.9463,0.0116,40.3814,21.7245,8.9124,5.0053,3.0397,208353,69451,1,10432,32
43,1.5021,0.0293,1.2170,0.0121,36.6869,22.0259,8.9069,5.0702,0.5623,208353,69451,1,10432,32
44,2.1215,0.0305,1.8433,0.0136,36.2529,21.7021,9.0001,4.8832,0.5559,208353,69451,1,10432,32
45,1.4238,0.0531,1.0949,0.0141,35.5024,20.9023,8.8633,5.0497,0.5742,208353,69451,1,10432,32
46,1.2617,0.0286,1.0209,0.0227,37.8122,23.3215,8.9250,4.9164,0.5372,208353,69451,1,10432,32
47,1.8672,0.0274,1.6349,0.0124,35.5251,20.9091,9.0427,4.8781,0.5801,208353,69451,1,10432,32
48,1.2899,0.0220,1.0797,0.0119,35.9730,21.3455,9.0632,4.9163,0.5381,208353,69451,1,10432,32
49,1.4054,0.0237,1.1037,0.0125,35.0559,20.7761,9.0157,4.6084,0.5419,208353,69451,1,10432,32
50,2.0026,0.1128,1.6055,0.0257,35.0115,20.6819,9.0053,4.6677,0.5443,208353,69451,1,10432,32
51,1.1943,0.0311,0.9381,0.0148,35.5464,21.1033,8.9573,4.7485,0.6183,208353,69451,1,10432,32
52,1.3105,0.0346,1.0447,0.0137,36.3740,22.3063,8.8334,4.5452,0.5618,208353,69451,1,10432,32
53,1.4404,0.2881,0.9238,0.0142,35.8419,21.5957,8.9975,4.5500,0.5625,208353,69451,1,10432,32
54,1.3336,0.2262,0.8853,0.0121,35.7470,21.3163,9.1330,4.5594,0.6200,208353,69451,1,10432,32
55,1.3924,0.2050,0.9622,0.0147,36.2377,21.9200,8.9772,4.6730,0.5533,208353,69451,1,10432,32
