frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,2.6879,1.0457,1.3940,0.0035,185.8569,1.4981,111.4925,70.9408,1.6169,18960,6320,4,3403,0
1,1.1276,0.2398,0.6361,0.0135,54.1952,1.4831,2.2262,48.7888,1.4567,18960,6320,4,3403,0
2,0.8824,0.0377,0.6049,0.0100,48.5932,1.4126,1.9853,43.9279,1.0938,18960,6320,4,3403,0
3,0.9777,0.0336,0.7212,0.0106,42.2033,1.0836,1.9746,37.9539,1.0122,18960,6320,4,3403,0
4,0.8758,0.0367,0.6057,0.0108,41.5510,0.9301,1.7512,37.7460,0.9975,18960,6320,4,3403,0
5,0.8098,0.0353,0.5564,0.0094,41.8400,1.0442,1.7817,37.7806,1.0900,18960,6320,4,3403,0
6,1.2855,0.0572,0.9135,0.0109,42.2649,1.0766,1.9779,37.8316,1.2226,18960,6320,4,3403,0
7,0.8131,0.0324,0.5664,0.0100,42.0852,1.0988,1.8252,37.9562,1.0537,18960,6320,4,3403,0
8,1.2071,0.0342,0.9443,0.0204,41.5404,0.9242,1.6911,37.7765,1.0206,18960,6320,4,3403,0
9,1.1403,0.0648,0.8474,0.0112,42.1950,1.1340,1.8711,37.8274,1.2058,18960,6320,4,3403,0
10,1.1814,0.0458,0.9236,0.0094,41.6730,0.9815,1.7420,37.8760,0.9455,18960,6320,4,3403,0
11,1.6523,0.0351,1.3902,0.0180,41.7840,1.1336,1.7244,37.7759,0.9926,18960,6320,4,3403,0
12,1.3833,0.0352,1.1017,0.0206,42.1489,1.1111,1.9284,37.8145,1.1464,18960,6320,4,3403,0
13,1.1426,0.0336,0.8910,0.0106,42.6171,1.2870,2.0952,37.8645,1.2114,18960,6320,4,3403,0
14,1.1918,0.0364,0.9246,0.0198,41.7946,0.9779,1.9557,37.7688,0.9589,18960,6320,4,3403,0
