frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,2.7132,0.9651,1.5337,0.0041,194.8973,2.1016,117.8069,72.8177,1.7717,18960,6320,4,3403,0
1,1.3756,0.2775,0.8105,0.0129,53.5554,1.5816,1.9745,48.6953,1.0881,18960,6320,4,3403,0
2,1.2042,0.0319,0.9547,0.0119,52.8934,0.9827,1.8345,48.7527,1.1795,18960,6320,4,3403,0
3,1.1548,0.0372,0.8544,0.0119,48.6654,1.1396,2.0693,44.1884,1.1207,18960,6320,4,3403,0
4,1.3574,0.0347,1.0965,0.0124,42.1676,1.0825,1.9382,37.9011,1.0974,18960,6320,4,3403,0
5,0.9575,0.0672,0.6478,0.0116,42.9636,1.2580,2.1434,38.2335,1.1776,18960,6320,4,3403,0
6,1.3439,0.0384,1.0498,0.0273,43.0785,1.4523,2.1312,38.0532,1.2393,18960,6320,4,3403,0
7,0.9839,0.0384,0.7064,0.0107,42.1657,1.1469,1.8544,37.9942,1.0196,18960,6320,4,3403,0
8,1.0209,0.0281,0.7892,0.0097,41.8965,1.0484,1.7611,37.9373,1.0197,18960,6320,4,3403,0
9,0.9394,0.0291,0.7068,0.0096,43.1605,1.3440,2.1000,38.3945,1.1771,18960,6320,4,3403,0
10,1.0947,0.0599,0.8395,0.0126,43.7732,1.4158,2.2532,38.4292,1.5053,18960,6320,4,3403,0
11,1.4069,0.0499,0.9692,0.0102,44.1002,1.3843,2.6863,38.3570,1.4849,18960,6320,4,3403,0
12,1.0142,0.0326,0.7507,0.0102,43.3875,1.3396,2.1363,38.0372,1.6241,18960,6320,4,3403,0
13,0.9465,0.0327,0.6633,0.0143,43.3639,1.2917,2.1009,38.2044,1.5570,18960,6320,4,3403,0
14,0.8877,0.0336,0.6194,0.0116,43.0245,1.2884,2.0421,38.0700,1.4392,18960,6320,4,3403,0
15,0.9354,0.0360,0.6599,0.0120,43.8851,1.8198,2.1746,38.1899,1.4412,18960,6320,4,3403,0
16,1.6735,0.0323,1.3905,0.0115,43.0338,1.3299,1.9965,38.0273,1.4987,18960,6320,4,3403,0
17,1.0643,0.0362,0.7630,0.0181,42.7052,1.1324,2.0050,37.9702,1.4139,18960,6320,4,3403,0
18,1.2923,0.0317,1.0319,0.0104,43.3532,1.4130,2.2069,38.1030,1.4473,18960,6320,4,3403,0
19,0.9010,0.0313,0.6458,0.0108,43.0367,1.3484,2.1503,38.0147,1.3388,18960,6320,4,3403,0
20,0.7986,0.0299,0.5403,0.0094,42.6658,1.0763,2.0238,38.1068,1.2986,18960,6320,4,3403,0
21,2.2662,0.0453,1.7318,0.0218,43.0994,1.2907,2.0148,38.1161,1.4748,18960,6320,4,3403,0
22,1.1144,0.0329,0.6272,0.0116,42.8544,1.2859,1.9974,38.0335,1.3630,18960,6320,4,3403,0
23,1.2918,0.0370,1.0174,0.0111,42.9714,1.3093,1.9757,38.0539,1.4486,18960,6320,4,3403,0
24,1.0325,0.0391,0.7347,0.0125,42.8789,1.3716,1.9896,37.9653,1.3739,18960,6320,4,3403,0
25,1.2064,0.0323,0.9326,0.0131,43.4019,1.4974,2.0965,38.0813,1.5061,18960,6320,4,3403,0
26,0.8710,0.0320,0.6234,0.0124,42.6050,1.1265,1.9067,38.0496,1.3610,18960,6320,4,3403,0
27,0.7722,0.0275,0.5472,0.0104,43.5795,1.5706,2.4192,38.0358,1.3764,18960,6320,4,3403,0
28,0.7479,0.0296,0.5097,0.0115,43.2685,1.4320,2.0118,38.1196,1.4791,18960,6320,4,3403,0
29,1.0107,0.0266,0.7874,0.0096,43.1361,1.3516,2.1252,38.1303,1.3525,18960,6320,4,3403,0
30,0.9772,0.0344,0.7094,0.0221,43.0866,1.0558,2.8089,38.0099,1.0688,18960,6320,4,3403,0
31,1.5465,0.2994,0.9963,0.0114,42.0016,1.0185,1.8069,37.9326,1.1151,18960,6320,4,3403,0
32,1.3648,0.2133,0.9082,0.0112,43.1636,1.3203,2.1832,38.3029,1.2034,18960,6320,4,3403,0
33,1.1595,0.1667,0.7797,0.0245,43.1648,1.3934,2.1469,38.3419,1.1284,18960,6320,4,3403,0
34,1.0292,0.1651,0.6466,0.0115,42.2218,1.1140,1.8859,38.0236,1.0535,18960,6320,4,3403,0
35,1.3114,0.3779,0.6422,0.0359,41.9503,1.0289,1.8411,37.9248,1.0209,18960,6320,4,3403,0
36,1.3498,0.1783,0.9232,0.0137,42.4317,1.1005,1.9135,38.0215,1.2190,18960,6320,4,3403,0
37,1.3566,0.1283,1.0058,0.0127,43.0120,1.3720,2.2307,38.1493,1.0803,18960,6320,4,3403,0
38,1.1007,0.1503,0.7193,0.0111,55.3149,1.4989,2.7256,38.5382,8.0412,18960,6320,4,3395,8
39,1.1124,0.2732,0.5843,0.0116,55.2497,1.5161,3.1558,39.2086,8.0990,18960,6320,4,3387,16
40,1.3015,0.1362,0.8802,0.0118,55.0251,1.5543,3.4578,38.8750,7.8995,18960,6320,4,3379,24
