frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,3.3831,1.0350,2.0899,0.0065,137.2750,0.6632,112.3823,23.6623,0.4232,18960,6320,1,3343,0
1,1.2899,0.2407,0.8026,0.0141,10.0250,0.9615,3.9782,4.5144,0.3965,18960,6320,1,3343,0
2,1.3411,0.0389,1.0292,0.0209,9.5676,0.6022,3.6747,4.5899,0.5534,18960,6320,1,3343,0
3,1.4158,0.0390,1.1534,0.0122,9.3295,0.6326,3.6830,4.5517,0.3105,18960,6320,1,3343,0
4,1.0029,0.0368,0.7400,0.0125,9.1525,0.5922,3.5726,4.5270,0.3629,18960,6320,1,3343,0
5,1.8365,0.0342,1.5542,0.0141,9.2868,0.6092,3.7816,4.4067,0.3447,18960,6320,1,3343,0
6,0.9301,0.0348,0.6709,0.0117,9.4173,0.6490,3.6468,4.4658,0.4866,18960,6320,1,3343,0
7,1.6970,0.0349,1.4179,0.0139,9.2805,0.6347,3.6331,4.4668,0.4060,18960,6320,1,3343,0
8,1.5563,0.0351,1.3025,0.0126,9.3601,0.5653,3.8192,4.4673,0.3642,18960,6320,1,3343,0
9,1.4026,0.0643,1.1292,0.0114,9.8013,0.6288,4.0637,4.6324,0.3643,18960,6320,1,3343,0
10,1.3942,0.0345,1.1363,0.0111,9.4331,0.6712,3.7290,4.5468,0.3754,18960,6320,1,3343,0
11,1.6653,0.0249,1.4613,0.0106,9.2543,0.5941,3.5843,4.5835,0.3765,18960,6320,1,3343,0
12,1.1395,0.0320,0.8897,0.0229,9.9641,0.8434,3.9617,4.6199,0.3619,18960,6320,1,3343,0
13,1.5845,0.0326,1.3429,0.0112,9.4569,0.6144,3.7721,4.5895,0.3549,18960,6320,1,3343,0
14,1.3397,0.0320,1.0926,0.0109,9.5035,0.7827,3.7229,4.5146,0.3457,18960,6320,1,3343,0
15,1.4725,0.0321,1.2216,0.0126,9.8433,0.8359,3.8709,4.6426,0.3427,18960,6320,1,3343,0
16,2.0178,0.0321,1.7473,0.0120,9.3195,0.6862,3.6774,4.4696,0.3325,18960,6320,1,3343,0
17,1.0612,0.0366,0.7942,0.0115,9.5013,0.7308,3.7159,4.5760,0.3415,18960,6320,1,3343,0
18,0.9288,0.0332,0.6820,0.0111,9.2858,0.6143,3.7220,4.4417,0.3675,18960,6320,1,3343,0
19,1.0915,0.0314,0.8416,0.0118,9.1507,0.5324,3.6749,4.5008,0.3464,18960,6320,1,3343,0
20,1.8589,0.0345,1.5870,0.0118,9.3966,0.6842,3.7693,4.3662,0.4256,18960,6320,1,3343,0
21,1.6431,0.0513,1.3073,0.0127,8.1840,0.6461,2.9671,3.9907,0.4067,18960,6320,1,3343,0
22,1.2596,0.0472,0.9565,0.0123,7.7928,0.5563,2.8729,3.8674,0.3560,18960,6320,1,3343,0
23,1.0141,0.0351,0.7416,0.0121,7.8800,0.5696,2.8482,3.9190,0.3905,18960,6320,1,3343,0
24,1.0040,0.0322,0.7492,0.0118,8.0209,0.5804,2.8806,4.0168,0.4004,18960,6320,1,3343,0
25,1.0282,0.0336,0.7438,0.0123,7.9844,0.5878,2.9341,3.9029,0.4196,18960,6320,1,3343,0
