frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,2.7337,0.9494,1.5493,0.0041,158.9715,1.2851,124.8981,32.1817,0.4376,18960,6320,1,3343,0
1,1.2624,0.2571,0.7645,0.0130,35.0985,2.0428,18.5008,13.9887,0.4287,18960,6320,1,3343,0
2,0.9865,0.0313,0.7266,0.0123,35.2405,1.6290,19.0373,14.1038,0.3803,18960,6320,1,3343,0
3,0.9574,0.0317,0.6949,0.0119,34.1619,1.3468,18.3667,13.9210,0.4474,18960,6320,1,3343,0
4,1.0658,0.0337,0.7882,0.0129,34.9437,1.6254,18.7442,14.0408,0.4459,18960,6320,1,3343,0
5,0.9629,0.0307,0.7116,0.0117,8.1781,1.7257,4.2327,1.8134,0.3086,18960,6320,1,3343,0
6,1.0675,0.0327,0.8056,0.0112,6.3282,0.5636,3.5861,1.8033,0.2915,18960,6320,1,3343,0
7,0.9985,0.0394,0.7109,0.0118,6.3051,0.5854,3.4811,1.7918,0.3163,18960,6320,1,3343,0
8,0.9798,0.0300,0.7250,0.0117,6.4602,0.6271,3.5278,1.8532,0.3132,18960,6320,1,3343,0
9,1.0022,0.0298,0.7551,0.0116,6.6192,0.5717,3.6906,1.8538,0.3985,18960,6320,1,3343,0
10,0.9363,0.0621,0.6659,0.0123,6.8221,0.6482,3.8095,1.8612,0.3553,18960,6320,1,3343,0
11,0.9884,0.0314,0.7312,0.0219,6.6814,0.7069,3.5939,1.8729,0.3394,18960,6320,1,3343,0
12,3.3850,0.0492,2.8872,0.0241,6.5347,0.6569,3.5496,1.8538,0.3413,18960,6320,1,3343,0
13,0.8971,0.0293,0.6600,0.0107,6.6049,0.5768,3.7127,1.9024,0.3275,18960,6320,1,3343,0
14,0.9507,0.0297,0.7105,0.0108,6.6518,0.7192,3.5333,1.9238,0.3357,18960,6320,1,3343,0
15,0.9579,0.0305,0.6987,0.0115,6.5513,0.6207,3.5328,1.8639,0.3792,18960,6320,1,3343,0
16,1.0832,0.0309,0.8241,0.0117,6.8721,0.6505,3.8465,1.8451,0.3764,18960,6320,1,3343,0
17,1.2400,0.0405,0.9030,0.0158,7.2049,1.3320,3.4819,1.8844,0.3617,18960,6320,1,3343,0
18,1.0150,0.0309,0.7494,0.0117,6.4951,0.6702,3.4599,1.8637,0.3556,18960,6320,1,3343,0
19,1.2055,0.0281,0.9067,0.0309,6.8198,0.8803,3.5900,1.8445,0.3573,18960,6320,1,3343,0
20,0.9404,0.0321,0.6752,0.0123,6.6822,0.7478,3.4979,1.9104,0.3738,18960,6320,1,3343,0
21,0.9027,0.0294,0.6573,0.0113,6.5349,0.6279,3.4907,1.9148,0.3555,18960,6320,1,3343,0
22,1.5227,0.0440,1.2417,0.0364,6.4890,0.6674,3.5025,1.8435,0.3206,18960,6320,1,3343,0
23,1.0681,0.0313,0.8088,0.0120,6.4771,0.7260,3.4926,1.7866,0.3327,18960,6320,1,3343,0
24,1.0184,0.0304,0.7359,0.0238,6.2652,0.6140,3.4890,1.7803,0.2816,18960,6320,1,3343,0
25,1.5121,0.0320,1.2404,0.0122,6.4958,0.6917,3.5401,1.7869,0.3405,18960,6320,1,3343,0
26,0.9775,0.0333,0.7178,0.0127,9.1855,0.6622,3.5999,1.8141,1.5599,18960,6320,1,3341,2
27,0.8947,0.0286,0.6534,0.0113,9.3946,0.6398,3.7156,2.0649,1.5638,18960,6320,1,3339,4
28,1.3111,0.0464,0.9591,0.0153,9.6547,0.6165,4.1828,2.0485,1.5790,18960,6320,1,3337,6
29,0.8748,0.0296,0.6399,0.0113,9.7353,0.6144,4.2712,1.9813,1.6181,18960,6320,1,3335,8
30,1.5793,0.0280,1.2867,0.0116,9.4491,0.5803,4.1218,2.1182,1.6636,18960,6320,1,3333,10
31,0.9580,0.0305,0.7094,0.0119,9.6438,0.5450,4.2309,2.0038,1.5792,18960,6320,1,3331,12
32,0.8995,0.0293,0.6614,0.0125,9.9123,0.5754,4.3651,2.0698,1.5836,18960,6320,1,3329,14
33,1.5781,0.0296,1.2731,0.0247,9.6820,0.6986,4.3364,2.0601,1.4870,18960,6320,1,3327,16
34,0.8755,0.0282,0.6396,0.0108,9.3339,0.5165,4.1629,2.0583,1.4929,18960,6320,1,3325,18
35,0.9569,0.0284,0.7112,0.0120,9.4357,0.5966,4.2548,1.9373,1.5557,18960,6320,1,3323,20
36,1.2779,0.0279,1.0347,0.0155,10.3571,0.6256,4.1488,2.1315,1.5773,18960,6320,1,3321,22
37,0.9167,0.0283,0.6768,0.0116,11.5038,0.6587,4.2232,2.0984,1.5874,18960,6320,1,3319,24
38,0.9221,0.0302,0.6731,0.0119,10.3882,0.6564,4.2688,1.9440,1.5155,18960,6320,1,3317,26
39,0.9881,0.0358,0.7070,0.0126,10.2685,0.6759,4.1479,1.9154,1.4712,18960,6320,1,3315,28
40,1.7694,0.0421,1.4653,0.0121,10.0086,0.7243,4.0540,1.9915,1.4754,18960,6320,1,3313,30
41,1.0096,0.0285,0.7431,0.0117,10.1990,0.7127,4.1876,1.9923,1.4209,18960,6320,1,3311,32
42,0.8449,0.0255,0.6304,0.0107,11.1696,0.6424,4.3202,1.9519,1.4309,18960,6320,1,3309,34
43,1.3590,0.0389,0.9452,0.0198,10.2834,0.5739,4.5011,1.8563,1.7527,18960,6320,1,3307,36
44,0.7863,0.0225,0.5797,0.0096,10.4124,0.6776,4.6349,1.9757,1.4718,18960,6320,1,3305,38
45,0.8372,0.0252,0.6049,0.0119,10.2831,0.6773,4.4499,2.1020,1.4856,18960,6320,1,3303,40
46,3.8874,0.0352,3.5504,0.0211,10.4624,0.5445,4.3924,1.9679,1.3351,18960,6320,1,3301,42
47,0.9261,0.0237,0.6999,0.0120,10.1764,0.6589,4.5567,2.0051,1.4654,18960,6320,1,3299,44
48,1.5045,0.0245,1.2329,0.0200,7.5611,0.7606,4.3121,1.9590,0.3882,18960,6320,1,3299,44
49,0.8150,0.0232,0.6003,0.0090,7.7763,0.7185,4.3141,2.2042,0.3800,18960,6320,1,3299,44
50,1.0321,0.0293,0.7835,0.0111,7.4823,0.6111,4.3567,2.0233,0.3409,18960,6320,1,3299,44
51,0.9838,0.0256,0.7575,0.0105,7.5977,0.6389,4.3186,2.0958,0.3745,18960,6320,1,3299,44
52,0.9699,0.0323,0.6858,0.0134,7.2309,0.6144,4.1915,1.9550,0.3341,18960,6320,1,3299,44
53,0.9378,0.0358,0.6443,0.0122,7.2885,0.7439,4.1696,1.9145,0.3177,18960,6320,1,3299,44
54,0.8601,0.0253,0.6395,0.0214,7.7368,0.6486,4.5612,2.0377,0.3362,18960,6320,1,3299,44
55,0.8504,0.0269,0.6171,0.0102,8.0372,0.8688,4.6739,1.9793,0.3379,18960,6320,1,3299,44
56,0.7514,0.0209,0.5616,0.0099,7.6630,0.6591,4.6239,1.8959,0.3177,18960,6320,1,3299,44
57,0.8962,0.0285,0.6601,0.0212,7.2300,0.5434,4.3396,1.9092,0.3209,18960,6320,1,3299,44
58,0.9507,0.0286,0.7033,0.0108,7.5076,0.6212,4.5587,1.9096,0.2815,18960,6320,1,3299,44
59,1.8901,0.0439,1.5117,0.0122,7.5709,0.5712,4.5862,1.9218,0.3859,18960,6320,1,3299,44
60,1.6756,0.0300,1.4198,0.0128,7.8693,0.7362,4.7105,1.9144,0.3452,18960,6320,1,3299,44
61,1.5239,0.0294,1.2864,0.0114,7.5822,0.6354,4.5447,1.8842,0.3678,18960,6320,1,3299,44
