frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
26,1.0717,0.0386,0.8068,0.0138,24.8238,2.4955,12.2813,7.4713,2.1640,18960,6320,4,3343,0
27,1.5191,0.0384,1.1771,0.0166,22.7134,2.0208,11.7179,7.1425,1.5852,18960,6320,4,3343,0
28,1.0410,0.0345,0.7832,0.0238,22.8671,1.9530,11.7102,7.3044,1.6575,18960,6320,4,3343,0
29,1.4964,0.0332,1.2548,0.0127,21.9228,1.7309,11.3153,7.0510,1.5685,18960,6320,4,3343,0
30,1.5203,0.0325,1.2724,0.0119,22.2736,1.7513,11.5843,7.0768,1.6315,18960,6320,4,3343,0
31,1.0542,0.0328,0.8219,0.0105,22.3008,1.7610,11.4006,7.2156,1.6434,18960,6320,4,3343,0
32,1.2420,0.0402,0.9710,0.0117,22.0441,1.8069,11.3042,7.2237,1.4741,18960,6320,4,3343,0
33,1.2426,0.0340,0.9884,0.0124,21.5192,1.6869,11.2985,6.7152,1.5584,18960,6320,4,3343,0
34,1.0727,0.0311,0.8272,0.0120,21.4418,1.6574,11.2515,6.7439,1.5481,18960,6320,4,3343,0
35,1.2408,0.0348,0.9741,0.0145,20.7459,1.6090,10.9534,6.5405,1.4274,18960,6320,4,3343,0
36,2.3652,0.0504,1.8902,0.0243,23.4945,2.0612,11.7252,7.7224,1.7076,18960,6320,4,3343,0
37,1.7220,0.0350,1.4517,0.0167,21.8857,1.7475,11.5255,6.8652,1.4959,18960,6320,4,3343,0
38,1.3067,0.0359,1.0389,0.0230,29.8879,2.0404,11.6224,6.9540,3.0597,18960,6320,4,3341,2
39,1.3861,0.0362,1.1234,0.0112,32.0038,1.6690,11.8796,7.4382,7.2981,18960,6320,4,3333,10
40,1.8663,0.0349,1.6060,0.0240,32.4447,1.8246,12.8345,7.6724,7.4031,18960,6320,4,3325,18
41,1.1912,0.0353,0.9314,0.0124,33.3183,1.7503,13.1988,7.9879,7.8341,18960,6320,4,3317,26
42,2.4003,0.0437,1.9550,0.0321,31.8653,1.5915,13.2137,7.8451,7.1388,18960,6320,4,3309,34
43,1.4162,0.0290,1.1824,0.0112,33.0972,1.5879,13.0357,8.0160,7.6582,18960,6320,4,3301,42
44,0.8972,0.0280,0.6720,0.0128,35.1054,1.8599,13.5441,8.6239,8.3292,18960,6320,4,3293,50
45,0.8721,0.0260,0.6578,0.0104,32.2280,1.5630,12.9180,8.0776,7.2850,18960,6320,4,3285,58
46,1.9050,0.0447,1.4300,0.0123,34.6369,1.8642,13.4776,8.1564,8.1673,18960,6320,4,3277,66
47,0.8225,0.0302,0.5902,0.0105,34.2121,1.9463,13.6326,7.8139,7.1447,18960,6320,4,3269,74
48,1.0875,0.0269,0.8712,0.0100,34.2126,1.4620,13.6265,8.0447,7.2414,18960,6320,4,3261,82
49,2.8154,0.0520,2.3079,0.0256,33.8782,1.5380,13.7188,7.9188,7.4851,18960,6320,4,3253,90
50,2.2273,0.0563,1.7276,0.0387,36.6316,1.8820,14.4191,8.5440,8.8889,18960,6320,4,3245,98
51,1.5867,0.0252,1.3010,0.0100,34.3349,1.5653,14.0018,7.9290,7.7364,18960,6320,4,3237,106
