frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,2.9430,1.0505,1.5913,0.0041,182.6072,1.5719,111.3934,67.9911,1.3915,18960,6320,4,3403,0
1,1.2704,0.3293,0.6891,0.0161,54.2206,1.2523,2.2844,48.8741,1.5837,18960,6320,4,3403,0
2,1.1914,0.0546,0.8076,0.0133,44.4453,1.2743,2.0517,39.7076,1.2345,18960,6320,4,3403,0
3,1.0542,0.0444,0.7570,0.0115,45.4833,1.5504,2.2646,39.8579,1.6344,18960,6320,4,3403,0
4,1.0603,0.0359,0.7281,0.0117,45.1827,1.4397,2.3487,39.8117,1.4023,18960,6320,4,3403,0
5,1.1007,0.0341,0.8388,0.0221,43.5019,1.0863,1.8029,39.3119,1.1552,18960,6320,4,3403,0
6,1.0703,0.0365,0.7874,0.0139,43.4823,1.2324,2.0553,38.9572,1.0925,18960,6320,4,3403,0
7,1.0150,0.0349,0.7462,0.0119,42.4124,1.0898,1.9507,38.0899,1.1333,18960,6320,4,3403,0
8,1.1751,0.0363,0.9063,0.0108,42.3017,1.0264,1.7976,38.1427,1.1996,18960,6320,4,3403,0
9,1.4226,0.0598,0.7937,0.0282,41.7336,0.9830,1.7062,38.0053,0.9168,18960,6320,4,3403,0
10,0.9650,0.0722,0.6764,0.0108,41.8371,0.9966,1.7345,38.0196,0.9633,18960,6320,4,3403,0
11,1.0896,0.0344,0.8276,0.0123,43.6891,1.3806,2.3783,38.5951,1.1868,18960,6320,4,3403,0
12,0.9336,0.0315,0.6852,0.0104,43.7042,1.3649,2.5118,38.4293,1.2431,18960,6320,4,3403,0
13,0.9537,0.0339,0.6962,0.0214,43.0862,1.2441,1.9894,38.2274,1.4492,18960,6320,4,3403,0
14,0.8623,0.0312,0.5946,0.0096,41.9538,0.9686,1.7805,38.0466,1.0184,18960,6320,4,3403,0
15,0.8441,0.0332,0.5942,0.0133,43.0882,1.0042,1.8395,39.0059,1.1134,18960,6320,4,3403,0
16,1.2737,0.0307,1.0255,0.0282,41.9570,0.9890,1.7876,38.0251,1.0088,18960,6320,4,3403,0
17,0.9151,0.0345,0.6644,0.0097,41.9263,0.9396,1.7340,38.0455,1.0756,18960,6320,4,3403,0
18,0.9063,0.0319,0.6410,0.0109,42.3729,1.0960,1.7911,38.1500,1.1836,18960,6320,4,3403,0
19,1.1667,0.0321,0.9161,0.0120,41.9343,0.9490,1.8240,38.0371,0.9994,18960,6320,4,3403,0
20,1.1830,0.0334,0.9301,0.0121,42.2510,1.0526,1.8833,38.0940,1.0764,18960,6320,4,3403,0
21,0.8539,0.0327,0.6075,0.0110,42.1997,1.0224,1.7857,38.0508,1.2100,18960,6320,4,3403,0
22,1.1216,0.0736,0.8054,0.0136,43.1805,1.3300,2.0096,38.1708,1.4443,18960,6320,4,3403,0
23,1.0246,0.0586,0.7200,0.0114,43.2771,1.3051,2.0428,38.1932,1.5310,18960,6320,4,3403,0
24,0.9964,0.0360,0.6972,0.0118,42.5579,1.1213,1.9273,38.1734,1.1725,18960,6320,4,3403,0
25,0.9502,0.0459,0.6499,0.0117,42.2805,1.1385,1.8154,38.0915,1.0877,18960,6320,4,3403,0
26,0.9976,0.0318,0.7367,0.0101,41.8806,0.9325,1.7258,38.0455,1.0422,18960,6320,4,3403,0
27,1.1677,0.0379,0.7393,0.0111,41.9076,0.9777,1.7310,38.0815,0.9816,18960,6320,4,3403,0
28,0.9897,0.1654,0.5965,0.0105,41.8779,0.9546,1.7006,38.0491,1.0441,18960,6320,4,3403,0
29,0.9119,0.0332,0.6500,0.0124,42.1120,1.0622,1.7618,38.0581,1.1017,18960,6320,4,3403,0
30,1.3226,0.0373,0.9689,0.0106,41.8432,0.9975,1.7052,38.0172,0.9864,18960,6320,4,3403,0
31,0.8751,0.0310,0.6233,0.0134,42.9406,1.1271,2.0728,38.4102,1.1859,18960,6320,4,3403,0
32,1.2599,0.0550,0.9627,0.0221,41.9405,0.9617,1.7888,38.0852,0.9485,18960,6320,4,3403,0
33,0.9167,0.0344,0.6611,0.0107,42.5533,1.1599,1.7896,38.1717,1.2785,18960,6320,4,3403,0
34,1.7089,0.0326,1.4189,0.0116,42.1063,1.0295,1.8465,38.0380,1.0458,18960,6320,4,3403,0
35,1.3193,0.0545,0.8231,0.0141,41.7824,0.9511,1.7404,38.0416,0.9209,18960,6320,4,3403,0
36,1.1250,0.0333,0.7319,0.0118,42.5103,1.1262,2.0257,38.0971,1.1209,18960,6320,4,3403,0
37,1.4379,0.0587,1.0819,0.0221,42.4496,1.0290,2.0015,38.1550,1.1196,18960,6320,4,3403,0
38,0.9207,0.0350,0.6672,0.0120,53.0759,1.3555,2.4405,38.3373,7.3615,18960,6320,4,3395,8
39,0.8613,0.0328,0.6215,0.0112,53.6401,1.4205,2.6559,38.8242,7.5826,18960,6320,4,3387,16
40,1.3159,0.0327,1.0461,0.0112,56.2257,1.6081,3.2289,39.6637,8.3736,18960,6320,4,3379,24
41,1.4940,0.3961,0.7201,0.0103,56.1028,1.4150,3.0295,39.3094,7.1187,18960,6320,4,3371,32
42,1.1473,0.0853,0.8583,0.0131,56.5509,1.3097,3.4086,39.3418,7.4518,18960,6320,4,3363,40
43,0.6875,0.0278,0.4671,0.0095,54.7893,1.3414,3.1322,39.3144,6.9680,18960,6320,4,3355,48
44,0.7654,0.0239,0.5604,0.0098,55.1711,1.1833,3.0916,39.1687,7.3248,18960,6320,4,3347,56
45,1.8600,0.0456,1.3785,0.0209,54.4748,1.2433,2.9127,39.3667,7.1530,18960,6320,4,3339,64
46,185.1589,1.2326,1.0815,0.0072,55.7466,1.2245,3.2019,39.4309,8.1139,18960,6320,4,3331,72
47,55.4416,0.4070,0.5871,0.0119,57.1507,1.2899,3.4596,39.3409,8.1518,18960,6320,4,3323,80
48,45.3580,0.0960,0.6430,0.0071,53.7041,1.3580,3.1535,39.2767,7.2379,18960,6320,4,3315,88
49,46.6600,0.0217,0.9722,0.0121,55.7551,1.2573,3.0636,39.1569,7.6335,18960,6320,4,3307,96
50,46.3028,0.0208,0.9322,0.0071,57.8990,1.5106,3.4403,39.5091,8.7288,18960,6320,4,3299,104
51,44.5178,0.0209,0.8247,0.0107,55.9168,1.2338,3.1647,39.1980,7.6629,18960,6320,4,3291,112
52,44.2906,0.0205,0.6170,0.0099,56.4958,1.2194,3.1896,39.4044,7.8421,18960,6320,4,3283,120
53,43.0144,0.0212,0.4152,0.0063,55.4905,1.3612,3.0832,39.3561,8.8252,18960,6320,4,3275,128
54,42.9758,0.0180,0.4834,0.0065,55.8047,1.2430,3.1314,39.3768,9.2237,18960,6320,4,3267,136
55,42.3577,0.0193,0.4460,0.0235,54.0441,1.1955,3.0125,39.1849,7.8029,18960,6320,4,3259,144
56,42.6136,0.0182,0.5935,0.0074,57.9635,1.3060,3.5248,39.6454,8.3067,18960,6320,4,3251,152
57,44.6230,0.0220,0.7367,0.0073,54.8355,1.3161,3.1245,39.0976,8.1896,18960,6320,4,3243,160
58,44.4952,0.0209,0.5927,0.0073,55.8473,1.0406,2.9083,39.2262,8.2878,18960,6320,4,3235,168
59,43.8665,0.0229,0.5781,0.0076,56.1831,1.2267,3.3817,39.5195,8.1942,18960,6320,4,3227,176
60,42.5829,0.0212,0.4401,0.0067,55.5393,1.1112,3.0458,39.3398,8.3094,18960,6320,4,3219,184
61,43.8802,0.0191,0.5639,0.0092,57.2089,1.2587,3.4662,39.4983,8.6250,18960,6320,4,3211,192
62,42.7131,0.0207,0.5731,0.0071,57.8734,1.2456,3.2628,39.8304,9.1409,18960,6320,4,3203,200
63,43.0200,0.0192,0.8974,0.0073,55.1659,1.4754,3.2928,39.1876,8.5756,18960,6320,4,3195,208
64,43.0387,0.0205,0.4757,0.0068,55.8415,1.2888,3.2886,39.4841,9.0861,18960,6320,4,3187,216
65,42.9856,0.0208,0.8568,0.0078,55.9240,1.3397,3.4332,39.4369,8.8890,18960,6320,4,3179,224
66,42.8868,0.0213,0.4473,0.0064,56.6243,1.1936,3.0342,39.3885,8.8008,18960,6320,4,3171,232
67,42.9312,0.0194,0.4878,0.0070,56.5926,1.2091,3.3575,39.2720,8.5351,18960,6320,4,3163,240
68,44.1119,0.0215,0.6522,0.0100,58.3602,1.3845,3.1996,39.7601,9.7105,18960,6320,4,3155,248
69,44.0273,0.0232,0.5447,0.0081,,,,,,18960,6320,,,
70,43.4773,0.0211,0.6915,0.0271,,,,,,18960,6320,,,
71,42.9354,0.0243,0.4569,0.0072,,,,,,18960,6320,,,
72,42.7931,0.0345,0.7155,0.0070,,,,,,18960,6320,,,
73,42.7124,0.0200,0.6211,0.0076,,,,,,18960,6320,,,
74,42.4776,0.0181,0.4190,0.0059,,,,,,18960,6320,,,
75,43.0411,0.0181,0.7381,0.0072,,,,,,18960,6320,,,
76,42.5043,0.0249,0.4665,0.0098,,,,,,18960,6320,,,
77,43.9103,0.0192,0.7816,0.0076,,,,,,18960,6320,,,
78,42.7417,0.0190,0.6224,0.0248,,,,,,18960,6320,,,
79,43.3273,0.0307,0.5113,0.0068,,,,,,18960,6320,,,
80,42.9152,0.0237,0.6178,0.0073,,,,,,18960,6320,,,
81,42.4027,0.0194,0.4409,0.0065,,,,,,18960,6320,,,
82,43.3741,0.0201,0.6686,0.0081,,,,,,18960,6320,,,
83,43.4478,0.0210,0.7984,0.0083,,,,,,18960,6320,,,
84,53.9602,0.0215,0.6547,0.0082,,,,,,18960,6320,,,
85,54.4308,0.0237,0.5734,0.0082,,,,,,18960,6320,,,
86,57.1488,0.0245,0.7029,0.0101,,,,,,18960,6320,,,
87,57.0733,0.0220,0.7499,0.0096,,,,,,18960,6320,,,
88,57.5340,0.0214,0.7604,0.0087,,,,,,18960,6320,,,
89,55.8753,0.0230,0.8635,0.0090,,,,,,18960,6320,,,
90,56.5699,0.0286,1.1701,0.0101,,,,,,18960,6320,,,
91,55.5902,0.0268,0.9054,0.0085,,,,,,18960,6320,,,
92,56.6870,0.0429,0.6977,0.0098,,,,,,18960,6320,,,
93,58.1510,0.0294,0.7732,0.0089,,,,,,18960,6320,,,
94,54.5675,0.0229,0.6535,0.0078,,,,,,18960,6320,,,
95,56.6063,0.0223,0.6249,0.0106,,,,,,18960,6320,,,
96,59.0679,0.0234,0.9346,0.0089,,,,,,18960,6320,,,
97,56.6644,0.0463,0.5151,0.0076,,,,,,18960,6320,,,
98,57.5075,0.0946,0.7241,0.0094,,,,,,18960,6320,,,
99,56.3461,0.0353,0.6310,0.0082,,,,,,18960,6320,,,
100,56.7644,0.0204,0.7588,0.0075,,,,,,18960,6320,,,
101,54.8956,0.0228,0.6336,0.0245,,,,,,18960,6320,,,
102,58.7117,0.0218,0.5441,0.0084,,,,,,18960,6320,,,
103,55.5494,0.0214,0.5108,0.0076,,,,,,18960,6320,,,
104,56.6204,0.0216,0.5609,0.0078,,,,,,18960,6320,,,
105,56.9512,0.0226,0.5540,0.0081,,,,,,18960,6320,,,
106,56.4346,0.0222,0.6813,0.0078,,,,,,18960,6320,,,
107,58.2057,0.0218,0.7774,0.0108,,,,,,18960,6320,,,
108,59.3446,0.0235,1.2579,0.0105,,,,,,18960,6320,,,
109,56.0590,0.0245,0.6537,0.0116,,,,,,18960,6320,,,
110,57.0817,0.0346,0.9930,0.0100,,,,,,18960,6320,,,
111,56.7463,0.0291,0.5934,0.0078,,,,,,18960,6320,,,
112,57.5644,0.0222,0.7366,0.0078,,,,,,18960,6320,,,
