trīstūri,rezolūcija,metode,laiks,vps
1280,4,Skanēšanas Līniju Metode,0.2125,301119
1280,4,Startu Izsekošanas Metode,0.0956,669736
1280,4,Fragment Ēnotāja metode,0.4111,155687
1280,4,Skaitļošanas Ēnotāja metode,0.5382,118914
1280,8,Skanēšanas Līniju Metode,0.5418,944963
1280,8,Startu Izsekošanas Metode,0.0772,6630406
1280,8,Fragment Ēnotāja metode,0.5954,859926
1280,8,Skaitļošanas Ēnotāja metode,0.4139,1236953
1280,16,Skanēšanas Līniju Metode,1.1559,3543497
1280,16,Startu Izsekošanas Metode,0.4516,9069973
1280,16,Fragment Ēnotāja metode,0.4408,9292617
1280,16,Skaitļošanas Ēnotāja metode,0.5787,7078422
1280,32,Skanēšanas Līniju Metode,2.5906,12648807
1280,32,Startu Izsekošanas Metode,0.8946,36627023
1280,32,Fragment Ēnotāja metode,0.6608,49586876
1280,32,Skaitļošanas Ēnotāja metode,0.5875,55771522
1280,64,Skanēšanas Līniju Metode,12.7809,20510605
1280,64,Startu Izsekošanas Metode,1.7827,147048858
1280,64,Fragment Ēnotāja metode,3.8069,68859503
1280,64,Skaitļošanas Ēnotāja metode,2.827,92729343
1280,128,Skanēšanas Līniju Metode,31.1609,67300795
1280,128,Startu Izsekošanas Metode,9.747,215159598
1280,128,Fragment Ēnotāja metode,14.3129,146522218
1280,128,Skaitļošanas Ēnotāja metode,16.1151,130135996
1280,256,Skanēšanas Līniju Metode,160.0069,104853091
1280,256,Startu Izsekošanas Metode,22.1937,755944294
1280,256,Fragment Ēnotāja metode,87.6312,191452498
1280,256,Skaitļošanas Ēnotāja metode,219.7959,76330893
5120,4,Skanēšanas Līniju Metode,0.9033,70849
5120,4,Startu Izsekošanas Metode,0.1272,502986
5120,4,Fragment Ēnotāja metode,1.0327,61974
5120,4,Skaitļošanas Ēnotāja metode,0.9033,70852
5120,8,Skanēšanas Līniju Metode,2.1138,242215
5120,8,Startu Izsekošanas Metode,3.2352,158261
5120,8,Fragment Ēnotāja metode,3.0309,168928
5120,8,Skaitļošanas Ēnotāja metode,2.5094,204029
5120,16,Skanēšanas Līniju Metode,4.754,861593
5120,16,Startu Izsekošanas Metode,6.4743,632653
5120,16,Fragment Ēnotāja metode,4.533,903599
5120,16,Skaitļošanas Ēnotāja metode,1.1935,3431980
5120,32,Skanēšanas Līniju Metode,9.7424,3363435
